year,state,district,social_group,gender,size_category,ind_holdings_number,ind_holdings_area_ha,jnt_holdings_number,jnt_holdings_area_ha,tot_holdings_number,tot_holdings_area_ha
2015-16,UTTAR PRADESH,AGRA,SCHEDULED CASTE,TOTAL,MARGINAL,15220,5704,12134,5380,27354,11084
2015-16,UTTAR PRADESH,AGRA,SCHEDULED CASTE,TOTAL,SMALL,1905,2519,2865,3946,4770,6464
2015-16,UTTAR PRADESH,AGRA,SCHEDULED CASTE,TOTAL,SEMIMEDIUM,566,1493,1143,3044,1709,4537
2015-16,UTTAR PRADESH,AGRA,SCHEDULED CASTE,TOTAL,MEDIUM,64,338,273,1500,337,1837
2015-16,UTTAR PRADESH,AGRA,SCHEDULED CASTE,TOTAL,LARGE,0,0,4,56,4,56
2015-16,UTTAR PRADESH,AGRA,SCHEDULED CASTE,TOTAL,ALL CLASSES,17755,10053,16419,13927,34174,23980
2015-16,UTTAR PRADESH,AGRA,SCHEDULED TRIBES,TOTAL,MARGINAL,0,0,0,0,0,0
2015-16,UTTAR PRADESH,AGRA,SCHEDULED TRIBES,TOTAL,SMALL,0,0,0,0,0,0
2015-16,UTTAR PRADESH,AGRA,SCHEDULED TRIBES,TOTAL,SEMIMEDIUM,0,0,0,0,0,0
2015-16,UTTAR PRADESH,AGRA,SCHEDULED TRIBES,TOTAL,MEDIUM,0,0,0,0,0,0
2015-16,UTTAR PRADESH,AGRA,SCHEDULED TRIBES,TOTAL,LARGE,0,0,0,0,0,0
2015-16,UTTAR PRADESH,AGRA,SCHEDULED TRIBES,TOTAL,ALL CLASSES,0,0,0,0,0,0
2015-16,UTTAR PRADESH,AGRA,OTHERS,TOTAL,MARGINAL,65958,25312,76466,34588,142424,59900
2015-16,UTTAR PRADESH,AGRA,OTHERS,TOTAL,SMALL,15622,22684,31805,44088,47427,66772
2015-16,UTTAR PRADESH,AGRA,OTHERS,TOTAL,SEMIMEDIUM,7501,20545,19225,51507,26726,72054
2015-16,UTTAR PRADESH,AGRA,OTHERS,TOTAL,MEDIUM,2140,11433,7849,45047,9989,56480
2015-16,UTTAR PRADESH,AGRA,OTHERS,TOTAL,LARGE,39,497,705,10852,744,11348
