year,state,district,social_group,gender,size_category,ind_holdings_number,ind_holdings_area_ha,jnt_holdings_number,jnt_holdings_area_ha,tot_holdings_number,tot_holdings_area_ha
2015-16,ANDHRA PRADESH,ANANTAPUR,SCHEDULED CASTE,TOTAL,MARGINAL,34458,19422,13,6,34471,19428
2015-16,ANDHRA PRADESH,ANANTAPUR,SCHEDULED CASTE,TOTAL,SMALL,21550,30949,10,13,21560,30962
2015-16,ANDHRA PRADESH,ANANTAPUR,SCHEDULED CASTE,TOTAL,SEMIMEDIUM,10411,24360,2,5,10413,24365
2015-16,ANDHRA PRADESH,ANANTAPUR,SCHEDULED CASTE,TOTAL,MEDIUM,609,3146,0,0,609,3146
2015-16,ANDHRA PRADESH,ANANTAPUR,SCHEDULED CASTE,TOTAL,LARGE,31,1012,0,0,31,1012
2015-16,ANDHRA PRADESH,ANANTAPUR,SCHEDULED CASTE,TOTAL,ALL CLASSES,67059,78888,25,23,67084,78911
2015-16,ANDHRA PRADESH,ANANTAPUR,SCHEDULED TRIBES,TOTAL,MARGINAL,12663,7253,8,3,12671,7256
2015-16,ANDHRA PRADESH,ANANTAPUR,SCHEDULED TRIBES,TOTAL,SMALL,11358,16562,3,4,11361,16566
2015-16,ANDHRA PRADESH,ANANTAPUR,SCHEDULED TRIBES,TOTAL,SEMIMEDIUM,5503,13142,5,11,5508,13153
2015-16,ANDHRA PRADESH,ANANTAPUR,SCHEDULED TRIBES,TOTAL,MEDIUM,355,1856,0,0,355,1856
2015-16,ANDHRA PRADESH,ANANTAPUR,SCHEDULED TRIBES,TOTAL,LARGE,17,261,0,0,17,261
2015-16,ANDHRA PRADESH,ANANTAPUR,SCHEDULED TRIBES,TOTAL,ALL CLASSES,29896,39072,16,18,29912,39091
2015-16,ANDHRA PRADESH,ANANTAPUR,OTHERS,TOTAL,MARGINAL,239140,133818,90,43,239230,133861
2015-16,ANDHRA PRADESH,ANANTAPUR,OTHERS,TOTAL,SMALL,234126,344156,62,88,234188,344244
2015-16,ANDHRA PRADESH,ANANTAPUR,OTHERS,TOTAL,SEMIMEDIUM,161927,413445,41,113,161968,413556
