year,state,district,social_group,gender,size_category,ind_holdings_number,ind_holdings_area_ha,jnt_holdings_number,jnt_holdings_area_ha,tot_holdings_number,tot_holdings_area_ha
2015-16,BIHAR,ARARIA,SCHEDULED CASTE,TOTAL,MARGINAL,32820,11528,1388,573,34208,12101
2015-16,BIHAR,ARARIA,SCHEDULED CASTE,TOTAL,SMALL,2543,3174,144,238,2687,3412
2015-16,BIHAR,ARARIA,SCHEDULED CASTE,TOTAL,SEMIMEDIUM,463,1084,30,87,493,1171
2015-16,BIHAR,ARARIA,SCHEDULED CASTE,TOTAL,MEDIUM,16,77,10,58,26,135
2015-16,BIHAR,ARARIA,SCHEDULED CASTE,TOTAL,LARGE,1,13,2,23,3,36
2015-16,BIHAR,ARARIA,SCHEDULED CASTE,TOTAL,ALL CLASSES,35843,15877,1574,978,37417,16855
2015-16,BIHAR,ARARIA,SCHEDULED TRIBES,TOTAL,MARGINAL,4412,1659,154,118,4566,1777
2015-16,BIHAR,ARARIA,SCHEDULED TRIBES,TOTAL,SMALL,370,486,36,57,406,544
2015-16,BIHAR,ARARIA,SCHEDULED TRIBES,TOTAL,SEMIMEDIUM,24,64,7,19,31,83
2015-16,BIHAR,ARARIA,SCHEDULED TRIBES,TOTAL,MEDIUM,7,38,3,19,10,57
2015-16,BIHAR,ARARIA,SCHEDULED TRIBES,TOTAL,LARGE,0,0,0,0,0,0
2015-16,BIHAR,ARARIA,SCHEDULED TRIBES,TOTAL,ALL CLASSES,4813,2246,200,214,5013,2461
2015-16,BIHAR,ARARIA,OTHERS,TOTAL,MARGINAL,282086,96771,19585,7210,301671,103981
2015-16,BIHAR,ARARIA,OTHERS,TOTAL,SMALL,30420,40458,4939,6459,35359,46917
2015-16,BIHAR,ARARIA,OTHERS,TOTAL,SEMIMEDIUM,10194,25364,2088,5935,12282,31300
2015-16,BIHAR,ARARIA,OTHERS,TOTAL,MEDIUM,1738,9181,1120,6244,2858,15424
2015-16,BIHAR,ARARIA,OTHERS,TOTAL,LARGE,73,968,71,1082,144,2051
2015-16,BIHAR,ARARIA,OTHERS,TOTAL,ALL CLASSES,324511,172741,27803,26931,352314,199672
2015-16,BIHAR,ARARIA,INSTITUTIONAL,TOTAL,MARGINAL,0,0,0,0,131,63
2015-16,BIHAR,ARARIA,INSTITUTIONAL,TOTAL,SMALL,0,0,0,0,42,57
2015-16,BIHAR,ARARIA,INSTITUTIONAL,TOTAL,SEMIMEDIUM,0,0,0,0,38,105
2015-16,BIHAR,ARARIA,INSTITUTIONAL,TOTAL,MEDIUM,0,0,0,0,15,84
2015-16,BIHAR,ARARIA,INSTITUTIONAL,TOTAL,LARGE,0,0,0,0,3,34
2015-16,BIHAR,ARARIA,INSTITUTIONAL,TOTAL,ALL CLASSES,0,0,0,0,229,344
2015-16,BIHAR,ARWAL,SCHEDULED CASTE,TOTAL,MARGINAL,11626,4164,2102,530,13728,4694
2015-16,BIHAR,ARWAL,SCHEDULED CASTE,TOTAL,SMALL,1171,1503,23,28,1194,1531
2015-16,BIHAR,ARWAL,SCHEDULED CASTE,TOTAL,SEMIMEDIUM,37,90,4,10,41,100
2015-16,BIHAR,ARWAL,SCHEDULED CASTE,TOTAL,MEDIUM,7,32,1,4,8,36
2015-16,BIHAR,ARWAL,SCHEDULED CASTE,TOTAL,LARGE,0,0,0,0,0,0
2015-16,BIHAR,ARWAL,SCHEDULED CASTE,TOTAL,ALL CLASSES,12841,5789,2130,574,14971,6362
2015-16,BIHAR,ARWAL,SCHEDULED TRIBES,TOTAL,MARGINAL,5,1,0,0,5,1
2015-16,BIHAR,ARWAL,SCHEDULED TRIBES,TOTAL,SMALL,0,0,0,0,0,0
2015-16,BIHAR,ARWAL,SCHEDULED TRIBES,TOTAL,SEMIMEDIUM,0,0,0,0,0,0
2015-16,BIHAR,ARWAL,SCHEDULED TRIBES,TOTAL,MEDIUM,0,0,0,0,0,0
2015-16,BIHAR,ARWAL,SCHEDULED TRIBES,TOTAL,LARGE,0,0,0,0,0,0
2015-16,BIHAR,ARWAL,SCHEDULED TRIBES,TOTAL,ALL CLASSES,5,1,0,0,5,1
2015-16,BIHAR,ARWAL,OTHERS,TOTAL,MARGINAL,74456,20038,3757,1643,78213,21680
2015-16,BIHAR,ARWAL,OTHERS,TOTAL,SMALL,7567,9838,1195,1538,8762,11376
2015-16,BIHAR,ARWAL,OTHERS,TOTAL,SEMIMEDIUM,2374,6211,578,1448,2952,7658
2015-16,BIHAR,ARWAL,OTHERS,TOTAL,MEDIUM,381,1945,144,672,525,2617
2015-16,BIHAR,ARWAL,OTHERS,TOTAL,LARGE,6,101,1,12,7,112
2015-16,BIHAR,ARWAL,OTHERS,TOTAL,ALL CLASSES,84784,38132,5675,5313,90459,43445
2015-16,BIHAR,ARWAL,INSTITUTIONAL,TOTAL,MARGINAL,0,0,0,0,77,34
2015-16,BIHAR,ARWAL,INSTITUTIONAL,TOTAL,SMALL,0,0,0,0,18,24
2015-16,BIHAR,ARWAL,INSTITUTIONAL,TOTAL,SEMIMEDIUM,0,0,0,0,27,73
2015-16,BIHAR,ARWAL,INSTITUTIONAL,TOTAL,MEDIUM,0,0,0,0,10,57
2015-16,BIHAR,ARWAL,INSTITUTIONAL,TOTAL,LARGE,0,0,0,0,0,0
2015-16,BIHAR,ARWAL,INSTITUTIONAL,TOTAL,ALL CLASSES,0,0,0,0,132,188
2015-16,BIHAR,AURANGABAD,SCHEDULED CASTE,TOTAL,MARGINAL,58906,15145,5471,1912,64377,17058
2015-16,BIHAR,AURANGABAD,SCHEDULED CASTE,TOTAL,SMALL,4365,5744,566,791,4931,6535
2015-16,BIHAR,AURANGABAD,SCHEDULED CASTE,TOTAL,SEMIMEDIUM,647,1650,73,174,720,1824
2015-16,BIHAR,AURANGABAD,SCHEDULED CASTE,TOTAL,MEDIUM,15,84,1,4,16,89
2015-16,BIHAR,AURANGABAD,SCHEDULED CASTE,TOTAL,LARGE,0,0,0,0,0,0
2015-16,BIHAR,AURANGABAD,SCHEDULED CASTE,TOTAL,ALL CLASSES,63933,22623,6111,2882,70044,25505
2015-16,BIHAR,AURANGABAD,SCHEDULED TRIBES,TOTAL,MARGINAL,56,16,1,0,57,16
2015-16,BIHAR,AURANGABAD,SCHEDULED TRIBES,TOTAL,SMALL,8,15,0,0,8,15
2015-16,BIHAR,AURANGABAD,SCHEDULED TRIBES,TOTAL,SEMIMEDIUM,3,7,0,0,3,7
2015-16,BIHAR,AURANGABAD,SCHEDULED TRIBES,TOTAL,MEDIUM,0,0,0,0,0,0
2015-16,BIHAR,AURANGABAD,SCHEDULED TRIBES,TOTAL,LARGE,0,0,0,0,0,0
2015-16,BIHAR,AURANGABAD,SCHEDULED TRIBES,TOTAL,ALL CLASSES,67,37,1,0,68,38
2015-16,BIHAR,AURANGABAD,OTHERS,TOTAL,MARGINAL,253979,92439,12930,4446,266909,96885
2015-16,BIHAR,AURANGABAD,OTHERS,TOTAL,SMALL,33681,46948,2425,3212,36106,50160
2015-16,BIHAR,AURANGABAD,OTHERS,TOTAL,SEMIMEDIUM,16482,45033,1804,4853,18286,49886
2015-16,BIHAR,AURANGABAD,OTHERS,TOTAL,MEDIUM,2470,13200,200,1039,2670,14238
2015-16,BIHAR,AURANGABAD,OTHERS,TOTAL,LARGE,45,643,1,15,46,658
2015-16,BIHAR,AURANGABAD,OTHERS,TOTAL,ALL CLASSES,306657,198262,17360,13565,324017,211827
2015-16,BIHAR,AURANGABAD,INSTITUTIONAL,TOTAL,MARGINAL,0,0,0,0,137,59
2015-16,BIHAR,AURANGABAD,INSTITUTIONAL,TOTAL,SMALL,0,0,0,0,36,46
2015-16,BIHAR,AURANGABAD,INSTITUTIONAL,TOTAL,SEMIMEDIUM,0,0,0,0,23,60
2015-16,BIHAR,AURANGABAD,INSTITUTIONAL,TOTAL,MEDIUM,0,0,0,0,11,68
