year,state,district,social_group,gender,size_category,ind_holdings_number,ind_holdings_area_ha,jnt_holdings_number,jnt_holdings_area_ha,tot_holdings_number,tot_holdings_area_ha
2015-16,CHANDIGARH,CHANDIGARH,SCHEDULED CASTE,TOTAL,MARGINAL,0,0,0,0,0,0
2015-16,CHANDIGARH,CHANDIGARH,SCHEDULED CASTE,TOTAL,SMALL,0,0,0,0,0,0
2015-16,CHANDIGARH,CHANDIGARH,SCHEDULED CASTE,TOTAL,SEMIMEDIUM,0,0,0,0,0,0
2015-16,CHANDIGARH,CHANDIGARH,SCHEDULED CASTE,TOTAL,MEDIUM,0,0,0,0,0,0
2015-16,CHANDIGARH,CHANDIGARH,SCHEDULED CASTE,TOTAL,LARGE,0,0,0,0,0,0
2015-16,CHANDIGARH,CHANDIGARH,SCHEDULED CASTE,TOTAL,ALL CLASSES,0,0,0,0,0,0
2015-16,CHANDIGARH,CHANDIGARH,SCHEDULED TRIBES,TOTAL,MARGINAL,0,0,0,0,0,0
2015-16,CHANDIGARH,CHANDIGARH,SCHEDULED TRIBES,TOTAL,SMALL,0,0,0,0,0,0
2015-16,CHANDIGARH,CHANDIGARH,SCHEDULED TRIBES,TOTAL,SEMIMEDIUM,0,0,0,0,0,0
2015-16,CHANDIGARH,CHANDIGARH,SCHEDULED TRIBES,TOTAL,MEDIUM,0,0,0,0,0,0
2015-16,CHANDIGARH,CHANDIGARH,SCHEDULED TRIBES,TOTAL,LARGE,0,0,0,0,0,0
2015-16,CHANDIGARH,CHANDIGARH,SCHEDULED TRIBES,TOTAL,ALL CLASSES,0,0,0,0,0,0
2015-16,CHANDIGARH,CHANDIGARH,OTHERS,TOTAL,MARGINAL,110,47,369,159,479,207
2015-16,CHANDIGARH,CHANDIGARH,OTHERS,TOTAL,SMALL,23,31,115,159,138,190
2015-16,CHANDIGARH,CHANDIGARH,OTHERS,TOTAL,SEMIMEDIUM,7,21,73,213,80,234
2015-16,CHANDIGARH,CHANDIGARH,OTHERS,TOTAL,MEDIUM,1,4,45,244,46,248
2015-16,CHANDIGARH,CHANDIGARH,OTHERS,TOTAL,LARGE,0,0,2,31,2,31
2015-16,CHANDIGARH,CHANDIGARH,OTHERS,TOTAL,ALL CLASSES,141,102,604,807,745,910
2015-16,CHANDIGARH,CHANDIGARH,INSTITUTIONAL,TOTAL,MARGINAL,0,0,0,0,1,0
2015-16,CHANDIGARH,CHANDIGARH,INSTITUTIONAL,TOTAL,SMALL,0,0,0,0,1,1
2015-16,CHANDIGARH,CHANDIGARH,INSTITUTIONAL,TOTAL,SEMIMEDIUM,0,0,0,0,1,2
2015-16,CHANDIGARH,CHANDIGARH,INSTITUTIONAL,TOTAL,MEDIUM,0,0,0,0,0,0
2015-16,CHANDIGARH,CHANDIGARH,INSTITUTIONAL,TOTAL,LARGE,0,0,0,0,0,0
2015-16,CHANDIGARH,CHANDIGARH,INSTITUTIONAL,TOTAL,ALL CLASSES,0,0,0,0,3,4
