year,state,district,social_group,gender,size_category,ind_holdings_number,ind_holdings_area_ha,jnt_holdings_number,jnt_holdings_area_ha,tot_holdings_number,tot_holdings_area_ha
2015-16,CHATTISGARH,BALOD,SCHEDULED CASTE,TOTAL,MARGINAL,8678,3764,0,0,8678,3764
2015-16,CHATTISGARH,BALOD,SCHEDULED CASTE,TOTAL,SMALL,2586,3617,0,0,2586,3617
2015-16,CHATTISGARH,BALOD,SCHEDULED CASTE,TOTAL,SEMIMEDIUM,1199,3261,0,0,1199,3261
2015-16,CHATTISGARH,BALOD,SCHEDULED CASTE,TOTAL,MEDIUM,276,1456,0,0,276,1456
2015-16,CHATTISGARH,BALOD,SCHEDULED CASTE,TOTAL,LARGE,13,169,0,0,13,169
2015-16,CHATTISGARH,BALOD,SCHEDULED CASTE,TOTAL,ALL CLASSES,12752,12269,0,0,12752,12269
2015-16,CHATTISGARH,BALOD,SCHEDULED TRIBES,TOTAL,MARGINAL,29644,14303,0,0,29644,14303
2015-16,CHATTISGARH,BALOD,SCHEDULED TRIBES,TOTAL,SMALL,14842,21049,0,0,14842,21049
2015-16,CHATTISGARH,BALOD,SCHEDULED TRIBES,TOTAL,SEMIMEDIUM,7958,21476,0,0,7958,21476
2015-16,CHATTISGARH,BALOD,SCHEDULED TRIBES,TOTAL,MEDIUM,2160,11777,0,0,2160,11777
2015-16,CHATTISGARH,BALOD,SCHEDULED TRIBES,TOTAL,LARGE,116,1548,0,0,116,1548
2015-16,CHATTISGARH,BALOD,SCHEDULED TRIBES,TOTAL,ALL CLASSES,54720,70153,0,0,54720,70153
2015-16,CHATTISGARH,BALOD,OTHERS,TOTAL,MARGINAL,67435,29123,0,0,67435,29123
2015-16,CHATTISGARH,BALOD,OTHERS,TOTAL,SMALL,22930,32254,0,0,22930,32254
2015-16,CHATTISGARH,BALOD,OTHERS,TOTAL,SEMIMEDIUM,10066,27097,0,0,10066,27097
2015-16,CHATTISGARH,BALOD,OTHERS,TOTAL,MEDIUM,2813,15442,0,0,2813,15442
2015-16,CHATTISGARH,BALOD,OTHERS,TOTAL,LARGE,196,2771,0,0,196,2771
2015-16,CHATTISGARH,BALOD,OTHERS,TOTAL,ALL CLASSES,103440,106688,0,0,103440,106688
2015-16,CHATTISGARH,BALOD,INSTITUTIONAL,TOTAL,MARGINAL,0,0,0,0,5,2
2015-16,CHATTISGARH,BALOD,INSTITUTIONAL,TOTAL,SMALL,0,0,0,0,4,6
2015-16,CHATTISGARH,BALOD,INSTITUTIONAL,TOTAL,SEMIMEDIUM,0,0,0,0,2,5
2015-16,CHATTISGARH,BALOD,INSTITUTIONAL,TOTAL,MEDIUM,0,0,0,0,0,0
2015-16,CHATTISGARH,BALOD,INSTITUTIONAL,TOTAL,LARGE,0,0,0,0,0,0
2015-16,CHATTISGARH,BALOD,INSTITUTIONAL,TOTAL,ALL CLASSES,0,0,0,0,11,13
2015-16,CHATTISGARH,BALODABAZAR,SCHEDULED CASTE,TOTAL,MARGINAL,48852,18871,0,0,48852,18871
2015-16,CHATTISGARH,BALODABAZAR,SCHEDULED CASTE,TOTAL,SMALL,9872,13539,0,0,9872,13539
2015-16,CHATTISGARH,BALODABAZAR,SCHEDULED CASTE,TOTAL,SEMIMEDIUM,3227,8482,0,0,3227,8482
2015-16,CHATTISGARH,BALODABAZAR,SCHEDULED CASTE,TOTAL,MEDIUM,624,3249,0,0,624,3249
2015-16,CHATTISGARH,BALODABAZAR,SCHEDULED CASTE,TOTAL,LARGE,23,312,0,0,23,312
2015-16,CHATTISGARH,BALODABAZAR,SCHEDULED CASTE,TOTAL,ALL CLASSES,62598,44453,0,0,62598,44453
2015-16,CHATTISGARH,BALODABAZAR,SCHEDULED TRIBES,TOTAL,MARGINAL,20534,9280,0,0,20534,9280
2015-16,CHATTISGARH,BALODABAZAR,SCHEDULED TRIBES,TOTAL,SMALL,7477,10505,0,0,7477,10505
2015-16,CHATTISGARH,BALODABAZAR,SCHEDULED TRIBES,TOTAL,SEMIMEDIUM,3860,10253,0,0,3860,10253
2015-16,CHATTISGARH,BALODABAZAR,SCHEDULED TRIBES,TOTAL,MEDIUM,939,5130,0,0,939,5130
2015-16,CHATTISGARH,BALODABAZAR,SCHEDULED TRIBES,TOTAL,LARGE,48,673,0,0,48,673
2015-16,CHATTISGARH,BALODABAZAR,SCHEDULED TRIBES,TOTAL,ALL CLASSES,32858,35842,0,0,32858,35842
2015-16,CHATTISGARH,BALODABAZAR,OTHERS,TOTAL,MARGINAL,122396,49146,0,0,122396,49146
2015-16,CHATTISGARH,BALODABAZAR,OTHERS,TOTAL,SMALL,32138,44989,0,0,32138,44989
2015-16,CHATTISGARH,BALODABAZAR,OTHERS,TOTAL,SEMIMEDIUM,13169,35579,0,0,13169,35579
2015-16,CHATTISGARH,BALODABAZAR,OTHERS,TOTAL,MEDIUM,4257,23831,0,0,4257,23831
2015-16,CHATTISGARH,BALODABAZAR,OTHERS,TOTAL,LARGE,523,8712,0,0,523,8712
2015-16,CHATTISGARH,BALODABAZAR,OTHERS,TOTAL,ALL CLASSES,172483,162258,0,0,172483,162258
2015-16,CHATTISGARH,BALODABAZAR,INSTITUTIONAL,TOTAL,MARGINAL,0,0,0,0,69,32
2015-16,CHATTISGARH,BALODABAZAR,INSTITUTIONAL,TOTAL,SMALL,0,0,0,0,24,33
2015-16,CHATTISGARH,BALODABAZAR,INSTITUTIONAL,TOTAL,SEMIMEDIUM,0,0,0,0,17,42
2015-16,CHATTISGARH,BALODABAZAR,INSTITUTIONAL,TOTAL,MEDIUM,0,0,0,0,13,88
2015-16,CHATTISGARH,BALODABAZAR,INSTITUTIONAL,TOTAL,LARGE,0,0,0,0,32,1437
2015-16,CHATTISGARH,BALODABAZAR,INSTITUTIONAL,TOTAL,ALL CLASSES,0,0,0,0,155,1633
2015-16,CHATTISGARH,BALRAMPUR,SCHEDULED CASTE,TOTAL,MARGINAL,2892,1215,0,0,2892,1215
2015-16,CHATTISGARH,BALRAMPUR,SCHEDULED CASTE,TOTAL,SMALL,1254,1763,0,0,1254,1763
2015-16,CHATTISGARH,BALRAMPUR,SCHEDULED CASTE,TOTAL,SEMIMEDIUM,688,1769,0,0,688,1769
2015-16,CHATTISGARH,BALRAMPUR,SCHEDULED CASTE,TOTAL,MEDIUM,179,1009,0,0,179,1009
2015-16,CHATTISGARH,BALRAMPUR,SCHEDULED CASTE,TOTAL,LARGE,33,397,0,0,33,397
2015-16,CHATTISGARH,BALRAMPUR,SCHEDULED CASTE,TOTAL,ALL CLASSES,5046,6154,0,0,5046,6154
2015-16,CHATTISGARH,BALRAMPUR,SCHEDULED TRIBES,TOTAL,MARGINAL,32191,14636,1,1,32192,14636
2015-16,CHATTISGARH,BALRAMPUR,SCHEDULED TRIBES,TOTAL,SMALL,17303,24573,0,0,17303,24573
2015-16,CHATTISGARH,BALRAMPUR,SCHEDULED TRIBES,TOTAL,SEMIMEDIUM,13064,35013,0,0,13064,35013
2015-16,CHATTISGARH,BALRAMPUR,SCHEDULED TRIBES,TOTAL,MEDIUM,5300,29867,0,0,5300,29867
2015-16,CHATTISGARH,BALRAMPUR,SCHEDULED TRIBES,TOTAL,LARGE,465,6100,0,0,465,6100
2015-16,CHATTISGARH,BALRAMPUR,SCHEDULED TRIBES,TOTAL,ALL CLASSES,68323,110187,1,1,68324,110188
