year,state,district,social_group,gender,size_category,ind_holdings_number,ind_holdings_area_ha,jnt_holdings_number,jnt_holdings_area_ha,tot_holdings_number,tot_holdings_area_ha
2015-16,GOA,NORTH GOA,SCHEDULED CASTE,TOTAL,MARGINAL,562,107,0,0,562,107
2015-16,GOA,NORTH GOA,SCHEDULED CASTE,TOTAL,SMALL,43,63,0,0,43,63
2015-16,GOA,NORTH GOA,SCHEDULED CASTE,TOTAL,SEMIMEDIUM,3,11,0,0,3,11
2015-16,GOA,NORTH GOA,SCHEDULED CASTE,TOTAL,MEDIUM,0,0,0,0,0,0
2015-16,GOA,NORTH GOA,SCHEDULED CASTE,TOTAL,LARGE,0,0,0,0,0,0
2015-16,GOA,NORTH GOA,SCHEDULED CASTE,TOTAL,ALL CLASSES,608,181,0,0,608,181
2015-16,GOA,NORTH GOA,SCHEDULED TRIBES,TOTAL,MARGINAL,805,382,80,35,885,418
2015-16,GOA,NORTH GOA,SCHEDULED TRIBES,TOTAL,SMALL,148,244,13,21,161,266
2015-16,GOA,NORTH GOA,SCHEDULED TRIBES,TOTAL,SEMIMEDIUM,43,138,0,0,43,138
2015-16,GOA,NORTH GOA,SCHEDULED TRIBES,TOTAL,MEDIUM,19,131,3,22,22,153
2015-16,GOA,NORTH GOA,SCHEDULED TRIBES,TOTAL,LARGE,0,0,0,0,0,0
2015-16,GOA,NORTH GOA,SCHEDULED TRIBES,TOTAL,ALL CLASSES,1015,896,96,79,1111,975
2015-16,GOA,NORTH GOA,OTHERS,TOTAL,MARGINAL,22097,9606,670,299,22767,9905
2015-16,GOA,NORTH GOA,OTHERS,TOTAL,SMALL,3531,5744,110,170,3641,5915
2015-16,GOA,NORTH GOA,OTHERS,TOTAL,SEMIMEDIUM,1633,5341,44,128,1677,5468
2015-16,GOA,NORTH GOA,OTHERS,TOTAL,MEDIUM,632,4251,35,259,667,4511
2015-16,GOA,NORTH GOA,OTHERS,TOTAL,LARGE,245,6826,17,342,262,7168
2015-16,GOA,NORTH GOA,OTHERS,TOTAL,ALL CLASSES,28138,31769,876,1198,29014,32966
2015-16,GOA,NORTH GOA,INSTITUTIONAL,TOTAL,MARGINAL,0,0,0,0,11,2
2015-16,GOA,NORTH GOA,INSTITUTIONAL,TOTAL,SMALL,0,0,0,0,3,4
2015-16,GOA,NORTH GOA,INSTITUTIONAL,TOTAL,SEMIMEDIUM,0,0,0,0,0,0
2015-16,GOA,NORTH GOA,INSTITUTIONAL,TOTAL,MEDIUM,0,0,0,0,0,0
2015-16,GOA,NORTH GOA,INSTITUTIONAL,TOTAL,LARGE,0,0,0,0,6,179
2015-16,GOA,NORTH GOA,INSTITUTIONAL,TOTAL,ALL CLASSES,0,0,0,0,20,185
2015-16,GOA,SOUTH GOA,SCHEDULED CASTE,TOTAL,MARGINAL,56,21,0,0,56,21
2015-16,GOA,SOUTH GOA,SCHEDULED CASTE,TOTAL,SMALL,4,7,0,0,4,7
2015-16,GOA,SOUTH GOA,SCHEDULED CASTE,TOTAL,SEMIMEDIUM,3,9,0,0,3,9
2015-16,GOA,SOUTH GOA,SCHEDULED CASTE,TOTAL,MEDIUM,0,0,0,0,0,0
2015-16,GOA,SOUTH GOA,SCHEDULED CASTE,TOTAL,LARGE,0,0,0,0,0,0
2015-16,GOA,SOUTH GOA,SCHEDULED CASTE,TOTAL,ALL CLASSES,63,37,0,0,63,37
2015-16,GOA,SOUTH GOA,SCHEDULED TRIBES,TOTAL,MARGINAL,15956,6427,271,96,16227,6523
2015-16,GOA,SOUTH GOA,SCHEDULED TRIBES,TOTAL,SMALL,2038,3483,24,41,2062,3524
2015-16,GOA,SOUTH GOA,SCHEDULED TRIBES,TOTAL,SEMIMEDIUM,1258,4076,13,35,1271,4112
2015-16,GOA,SOUTH GOA,SCHEDULED TRIBES,TOTAL,MEDIUM,751,5047,9,54,760,5102
2015-16,GOA,SOUTH GOA,SCHEDULED TRIBES,TOTAL,LARGE,76,2040,6,87,82,2127
2015-16,GOA,SOUTH GOA,SCHEDULED TRIBES,TOTAL,ALL CLASSES,20079,21074,323,314,20402,21389
2015-16,GOA,SOUTH GOA,OTHERS,TOTAL,MARGINAL,18688,6393,227,93,18915,6485
2015-16,GOA,SOUTH GOA,OTHERS,TOTAL,SMALL,2101,3538,62,106,2163,3645
2015-16,GOA,SOUTH GOA,OTHERS,TOTAL,SEMIMEDIUM,1268,4149,40,119,1308,4268
2015-16,GOA,SOUTH GOA,OTHERS,TOTAL,MEDIUM,607,4130,31,192,638,4322
2015-16,GOA,SOUTH GOA,OTHERS,TOTAL,LARGE,202,5797,25,552,227,6349
2015-16,GOA,SOUTH GOA,OTHERS,TOTAL,ALL CLASSES,22866,24007,385,1062,23251,25069
2015-16,GOA,SOUTH GOA,INSTITUTIONAL,TOTAL,MARGINAL,0,0,0,0,49,15
2015-16,GOA,SOUTH GOA,INSTITUTIONAL,TOTAL,SMALL,0,0,0,0,6,11
2015-16,GOA,SOUTH GOA,INSTITUTIONAL,TOTAL,SEMIMEDIUM,0,0,0,0,4,12
2015-16,GOA,SOUTH GOA,INSTITUTIONAL,TOTAL,MEDIUM,0,0,0,0,5,25
2015-16,GOA,SOUTH GOA,INSTITUTIONAL,TOTAL,LARGE,0,0,0,0,30,1221
2015-16,GOA,SOUTH GOA,INSTITUTIONAL,TOTAL,ALL CLASSES,0,0,0,0,94,1284
