year,state,district,social_group,gender,size_category,ind_holdings_number,ind_holdings_area_ha,jnt_holdings_number,jnt_holdings_area_ha,tot_holdings_number,tot_holdings_area_ha
2015-16,GUJARAT,AHMADABAD,SCHEDULED CASTE,TOTAL,MARGINAL,1200,604,1239,601,2439,1204
2015-16,GUJARAT,AHMADABAD,SCHEDULED CASTE,TOTAL,SMALL,929,1335,855,1193,1784,2528
2015-16,GUJARAT,AHMADABAD,SCHEDULED CASTE,TOTAL,SEMIMEDIUM,831,2278,770,2167,1601,4445
2015-16,GUJARAT,AHMADABAD,SCHEDULED CASTE,TOTAL,MEDIUM,503,3030,642,3896,1145,6926
2015-16,GUJARAT,AHMADABAD,SCHEDULED CASTE,TOTAL,LARGE,80,1211,128,1913,208,3124
2015-16,GUJARAT,AHMADABAD,SCHEDULED CASTE,TOTAL,ALL CLASSES,3543,8458,3634,9770,7177,18228
2015-16,GUJARAT,AHMADABAD,SCHEDULED TRIBES,TOTAL,MARGINAL,174,94,153,92,327,186
2015-16,GUJARAT,AHMADABAD,SCHEDULED TRIBES,TOTAL,SMALL,181,259,170,244,351,503
2015-16,GUJARAT,AHMADABAD,SCHEDULED TRIBES,TOTAL,SEMIMEDIUM,129,329,206,563,335,892
2015-16,GUJARAT,AHMADABAD,SCHEDULED TRIBES,TOTAL,MEDIUM,56,303,106,608,162,911
2015-16,GUJARAT,AHMADABAD,SCHEDULED TRIBES,TOTAL,LARGE,26,403,34,552,60,955
2015-16,GUJARAT,AHMADABAD,SCHEDULED TRIBES,TOTAL,ALL CLASSES,566,1388,669,2060,1235,3448
2015-16,GUJARAT,AHMADABAD,OTHERS,TOTAL,MARGINAL,28134,14711,35774,18559,63908,33269
2015-16,GUJARAT,AHMADABAD,OTHERS,TOTAL,SMALL,25239,37002,27443,39854,52682,76856
2015-16,GUJARAT,AHMADABAD,OTHERS,TOTAL,SEMIMEDIUM,23744,66537,25579,72190,49323,138726
2015-16,GUJARAT,AHMADABAD,OTHERS,TOTAL,MEDIUM,14258,83502,16457,96743,30715,180246
2015-16,GUJARAT,AHMADABAD,OTHERS,TOTAL,LARGE,1430,18978,2125,31342,3555,50321
2015-16,GUJARAT,AHMADABAD,OTHERS,TOTAL,ALL CLASSES,92805,220731,107378,258687,200183,479418
