year,state,district,social_group,gender,size_category,ind_holdings_number,ind_holdings_area_ha,jnt_holdings_number,jnt_holdings_area_ha,tot_holdings_number,tot_holdings_area_ha
2015-16,HARYANA,AMBALA,SCHEDULED CASTE,TOTAL,MARGINAL,20,12,22,15,42,27
2015-16,HARYANA,AMBALA,SCHEDULED CASTE,TOTAL,SMALL,11,17,15,22,26,39
2015-16,HARYANA,AMBALA,SCHEDULED CASTE,TOTAL,SEMIMEDIUM,3,8,7,20,10,28
2015-16,HARYANA,AMBALA,SCHEDULED CASTE,TOTAL,MEDIUM,0,0,4,18,4,18
2015-16,HARYANA,AMBALA,SCHEDULED CASTE,TOTAL,LARGE,0,0,0,0,0,0
2015-16,HARYANA,AMBALA,SCHEDULED CASTE,TOTAL,ALL CLASSES,34,37,48,75,82,112
2015-16,HARYANA,AMBALA,SCHEDULED TRIBES,TOTAL,MARGINAL,0,0,0,0,0,0
2015-16,HARYANA,AMBALA,SCHEDULED TRIBES,TOTAL,SMALL,0,0,0,0,0,0
2015-16,HARYANA,AMBALA,SCHEDULED TRIBES,TOTAL,SEMIMEDIUM,0,0,0,0,0,0
2015-16,HARYANA,AMBALA,SCHEDULED TRIBES,TOTAL,MEDIUM,0,0,0,0,0,0
2015-16,HARYANA,AMBALA,SCHEDULED TRIBES,TOTAL,LARGE,0,0,0,0,0,0
2015-16,HARYANA,AMBALA,SCHEDULED TRIBES,TOTAL,ALL CLASSES,0,0,0,0,0,0
2015-16,HARYANA,AMBALA,OTHERS,TOTAL,MARGINAL,12198,6254,14155,8151,26353,14407
2015-16,HARYANA,AMBALA,OTHERS,TOTAL,SMALL,2930,4301,7274,11041,10204,15342
2015-16,HARYANA,AMBALA,OTHERS,TOTAL,SEMIMEDIUM,2147,5662,6036,17413,8183,23075
2015-16,HARYANA,AMBALA,OTHERS,TOTAL,MEDIUM,718,3833,4329,26077,5047,29910
2015-16,HARYANA,AMBALA,OTHERS,TOTAL,LARGE,23,298,889,13760,912,14058
2015-16,HARYANA,AMBALA,OTHERS,TOTAL,ALL CLASSES,18016,20349,32683,76443,50699,96792
2015-16,HARYANA,AMBALA,INSTITUTIONAL,TOTAL,MARGINAL,0,0,0,0,304,187
2015-16,HARYANA,AMBALA,INSTITUTIONAL,TOTAL,SMALL,0,0,0,0,175,263
2015-16,HARYANA,AMBALA,INSTITUTIONAL,TOTAL,SEMIMEDIUM,0,0,0,0,173,488
2015-16,HARYANA,AMBALA,INSTITUTIONAL,TOTAL,MEDIUM,0,0,0,0,220,1389
2015-16,HARYANA,AMBALA,INSTITUTIONAL,TOTAL,LARGE,0,0,0,0,153,3107
2015-16,HARYANA,AMBALA,INSTITUTIONAL,TOTAL,ALL CLASSES,0,0,0,0,1025,5434
2015-16,HARYANA,BHIWANI,SCHEDULED CASTE,TOTAL,MARGINAL,1034,557,1360,764,2394,1321
2015-16,HARYANA,BHIWANI,SCHEDULED CASTE,TOTAL,SMALL,455,811,855,1500,1310,2312
2015-16,HARYANA,BHIWANI,SCHEDULED CASTE,TOTAL,SEMIMEDIUM,372,1134,1025,3134,1397,4268
2015-16,HARYANA,BHIWANI,SCHEDULED CASTE,TOTAL,MEDIUM,114,599,636,3920,750,4519
2015-16,HARYANA,BHIWANI,SCHEDULED CASTE,TOTAL,LARGE,0,0,59,717,59,717
2015-16,HARYANA,BHIWANI,SCHEDULED CASTE,TOTAL,ALL CLASSES,1975,3102,3935,10035,5910,13137
2015-16,HARYANA,BHIWANI,SCHEDULED TRIBES,TOTAL,MARGINAL,0,0,0,0,0,0
2015-16,HARYANA,BHIWANI,SCHEDULED TRIBES,TOTAL,SMALL,0,0,0,0,0,0
2015-16,HARYANA,BHIWANI,SCHEDULED TRIBES,TOTAL,SEMIMEDIUM,0,0,0,0,0,0
2015-16,HARYANA,BHIWANI,SCHEDULED TRIBES,TOTAL,MEDIUM,0,0,0,0,0,0
2015-16,HARYANA,BHIWANI,SCHEDULED TRIBES,TOTAL,LARGE,0,0,0,0,0,0
2015-16,HARYANA,BHIWANI,SCHEDULED TRIBES,TOTAL,ALL CLASSES,0,0,0,0,0,0
2015-16,HARYANA,BHIWANI,OTHERS,TOTAL,MARGINAL,17327,8913,33468,17844,50795,26757
2015-16,HARYANA,BHIWANI,OTHERS,TOTAL,SMALL,6160,9058,18009,26741,24169,35799
2015-16,HARYANA,BHIWANI,OTHERS,TOTAL,SEMIMEDIUM,5936,16836,19718,57362,25654,74198
2015-16,HARYANA,BHIWANI,OTHERS,TOTAL,MEDIUM,3090,16595,18064,112014,21154,128611
