year,state,district,social_group,gender,size_category,ind_holdings_number,ind_holdings_area_ha,jnt_holdings_number,jnt_holdings_area_ha,tot_holdings_number,tot_holdings_area_ha
2015-16,HIMACHAL PRADESH,BILASPUR,SCHEDULED CASTE,TOTAL,MARGINAL,11523,4626,0,0,11523,4626
2015-16,HIMACHAL PRADESH,BILASPUR,SCHEDULED CASTE,TOTAL,SMALL,1383,1847,0,0,1383,1847
2015-16,HIMACHAL PRADESH,BILASPUR,SCHEDULED CASTE,TOTAL,SEMIMEDIUM,268,676,0,0,268,676
2015-16,HIMACHAL PRADESH,BILASPUR,SCHEDULED CASTE,TOTAL,MEDIUM,23,136,0,0,23,136
2015-16,HIMACHAL PRADESH,BILASPUR,SCHEDULED CASTE,TOTAL,LARGE,3,30,0,0,3,30
2015-16,HIMACHAL PRADESH,BILASPUR,SCHEDULED CASTE,TOTAL,ALL CLASSES,13200,7317,0,0,13200,7317
2015-16,HIMACHAL PRADESH,BILASPUR,SCHEDULED TRIBES,TOTAL,MARGINAL,1474,749,0,0,1474,749
2015-16,HIMACHAL PRADESH,BILASPUR,SCHEDULED TRIBES,TOTAL,SMALL,439,617,0,0,439,617
2015-16,HIMACHAL PRADESH,BILASPUR,SCHEDULED TRIBES,TOTAL,SEMIMEDIUM,129,313,0,0,129,313
2015-16,HIMACHAL PRADESH,BILASPUR,SCHEDULED TRIBES,TOTAL,MEDIUM,18,110,0,0,18,110
2015-16,HIMACHAL PRADESH,BILASPUR,SCHEDULED TRIBES,TOTAL,LARGE,0,0,0,0,0,0
2015-16,HIMACHAL PRADESH,BILASPUR,SCHEDULED TRIBES,TOTAL,ALL CLASSES,2060,1788,0,0,2060,1788
2015-16,HIMACHAL PRADESH,BILASPUR,OTHERS,TOTAL,MARGINAL,29573,13201,0,0,29573,13201
2015-16,HIMACHAL PRADESH,BILASPUR,OTHERS,TOTAL,SMALL,9619,13231,0,0,9619,13231
2015-16,HIMACHAL PRADESH,BILASPUR,OTHERS,TOTAL,SEMIMEDIUM,4290,11188,0,0,4290,11188
2015-16,HIMACHAL PRADESH,BILASPUR,OTHERS,TOTAL,MEDIUM,446,2268,0,0,446,2268
2015-16,HIMACHAL PRADESH,BILASPUR,OTHERS,TOTAL,LARGE,4,57,0,0,4,57
2015-16,HIMACHAL PRADESH,BILASPUR,OTHERS,TOTAL,ALL CLASSES,43932,39944,0,0,43932,39944
2015-16,HIMACHAL PRADESH,BILASPUR,INSTITUTIONAL,TOTAL,MARGINAL,0,0,0,0,4,1
2015-16,HIMACHAL PRADESH,BILASPUR,INSTITUTIONAL,TOTAL,SMALL,0,0,0,0,2,3
2015-16,HIMACHAL PRADESH,BILASPUR,INSTITUTIONAL,TOTAL,SEMIMEDIUM,0,0,0,0,0,0
2015-16,HIMACHAL PRADESH,BILASPUR,INSTITUTIONAL,TOTAL,MEDIUM,0,0,0,0,3,21
