year,state,district,social_group,gender,size_category,ind_holdings_number,ind_holdings_area_ha,jnt_holdings_number,jnt_holdings_area_ha,tot_holdings_number,tot_holdings_area_ha
2015-16,JAMMU & KASHMIR,ANANTNAG,SCHEDULED CASTE,TOTAL,MARGINAL,0,0,0,0,0,0
2015-16,JAMMU & KASHMIR,ANANTNAG,SCHEDULED CASTE,TOTAL,SMALL,0,0,0,0,0,0
2015-16,JAMMU & KASHMIR,ANANTNAG,SCHEDULED CASTE,TOTAL,SEMIMEDIUM,0,0,0,0,0,0
2015-16,JAMMU & KASHMIR,ANANTNAG,SCHEDULED CASTE,TOTAL,MEDIUM,0,0,0,0,0,0
2015-16,JAMMU & KASHMIR,ANANTNAG,SCHEDULED CASTE,TOTAL,LARGE,0,0,0,0,0,0
2015-16,JAMMU & KASHMIR,ANANTNAG,SCHEDULED CASTE,TOTAL,ALL CLASSES,0,0,0,0,0,0
2015-16,JAMMU & KASHMIR,ANANTNAG,SCHEDULED TRIBES,TOTAL,MARGINAL,8019,2567,1128,433,9147,2999
2015-16,JAMMU & KASHMIR,ANANTNAG,SCHEDULED TRIBES,TOTAL,SMALL,190,250,58,79,248,329
2015-16,JAMMU & KASHMIR,ANANTNAG,SCHEDULED TRIBES,TOTAL,SEMIMEDIUM,18,48,18,46,36,94
2015-16,JAMMU & KASHMIR,ANANTNAG,SCHEDULED TRIBES,TOTAL,MEDIUM,3,14,0,0,3,14
2015-16,JAMMU & KASHMIR,ANANTNAG,SCHEDULED TRIBES,TOTAL,LARGE,0,0,0,0,0,0
2015-16,JAMMU & KASHMIR,ANANTNAG,SCHEDULED TRIBES,TOTAL,ALL CLASSES,8230,2880,1204,557,9434,3437
2015-16,JAMMU & KASHMIR,ANANTNAG,OTHERS,TOTAL,MARGINAL,90942,27423,14721,4711,105663,32134
2015-16,JAMMU & KASHMIR,ANANTNAG,OTHERS,TOTAL,SMALL,4448,5911,1321,1813,5769,7724
2015-16,JAMMU & KASHMIR,ANANTNAG,OTHERS,TOTAL,SEMIMEDIUM,631,1782,379,986,1010,2768
2015-16,JAMMU & KASHMIR,ANANTNAG,OTHERS,TOTAL,MEDIUM,15,78,24,109,39,187
2015-16,JAMMU & KASHMIR,ANANTNAG,OTHERS,TOTAL,LARGE,0,0,5,55,5,55
2015-16,JAMMU & KASHMIR,ANANTNAG,OTHERS,TOTAL,ALL CLASSES,96036,35193,16450,7673,112486,42866
2015-16,JAMMU & KASHMIR,ANANTNAG,INSTITUTIONAL,TOTAL,MARGINAL,0,0,0,0,121,36
2015-16,JAMMU & KASHMIR,ANANTNAG,INSTITUTIONAL,TOTAL,SMALL,0,0,0,0,7,10
2015-16,JAMMU & KASHMIR,ANANTNAG,INSTITUTIONAL,TOTAL,SEMIMEDIUM,0,0,0,0,19,56
2015-16,JAMMU & KASHMIR,ANANTNAG,INSTITUTIONAL,TOTAL,MEDIUM,0,0,0,0,6,42
2015-16,JAMMU & KASHMIR,ANANTNAG,INSTITUTIONAL,TOTAL,LARGE,0,0,0,0,5,97
2015-16,JAMMU & KASHMIR,ANANTNAG,INSTITUTIONAL,TOTAL,ALL CLASSES,0,0,0,0,158,241
2015-16,JAMMU & KASHMIR,BANDIPURA,SCHEDULED CASTE,TOTAL,MARGINAL,0,0,0,0,0,0
2015-16,JAMMU & KASHMIR,BANDIPURA,SCHEDULED CASTE,TOTAL,SMALL,0,0,0,0,0,0
2015-16,JAMMU & KASHMIR,BANDIPURA,SCHEDULED CASTE,TOTAL,SEMIMEDIUM,0,0,0,0,0,0
2015-16,JAMMU & KASHMIR,BANDIPURA,SCHEDULED CASTE,TOTAL,MEDIUM,0,0,0,0,0,0
2015-16,JAMMU & KASHMIR,BANDIPURA,SCHEDULED CASTE,TOTAL,LARGE,0,0,0,0,0,0
2015-16,JAMMU & KASHMIR,BANDIPURA,SCHEDULED CASTE,TOTAL,ALL CLASSES,0,0,0,0,0,0
2015-16,JAMMU & KASHMIR,BANDIPURA,SCHEDULED TRIBES,TOTAL,MARGINAL,14900,3818,5548,2122,20448,5940
2015-16,JAMMU & KASHMIR,BANDIPURA,SCHEDULED TRIBES,TOTAL,SMALL,435,512,247,340,682,851
2015-16,JAMMU & KASHMIR,BANDIPURA,SCHEDULED TRIBES,TOTAL,SEMIMEDIUM,80,242,148,331,228,573
2015-16,JAMMU & KASHMIR,BANDIPURA,SCHEDULED TRIBES,TOTAL,MEDIUM,2,13,14,70,16,82
2015-16,JAMMU & KASHMIR,BANDIPURA,SCHEDULED TRIBES,TOTAL,LARGE,1,13,0,0,1,13
2015-16,JAMMU & KASHMIR,BANDIPURA,SCHEDULED TRIBES,TOTAL,ALL CLASSES,15418,4597,5957,2861,21375,7458
2015-16,JAMMU & KASHMIR,BANDIPURA,OTHERS,TOTAL,MARGINAL,10645,3399,10367,3455,21012,6854
2015-16,JAMMU & KASHMIR,BANDIPURA,OTHERS,TOTAL,SMALL,717,960,1061,1472,1778,2431
2015-16,JAMMU & KASHMIR,BANDIPURA,OTHERS,TOTAL,SEMIMEDIUM,105,273,315,866,420,1140
2015-16,JAMMU & KASHMIR,BANDIPURA,OTHERS,TOTAL,MEDIUM,9,45,69,403,78,449
2015-16,JAMMU & KASHMIR,BANDIPURA,OTHERS,TOTAL,LARGE,0,0,8,224,8,224
2015-16,JAMMU & KASHMIR,BANDIPURA,OTHERS,TOTAL,ALL CLASSES,11476,4678,11820,6420,23296,11098
2015-16,JAMMU & KASHMIR,BANDIPURA,INSTITUTIONAL,TOTAL,MARGINAL,0,0,0,0,10,2
2015-16,JAMMU & KASHMIR,BANDIPURA,INSTITUTIONAL,TOTAL,SMALL,0,0,0,0,1,1
2015-16,JAMMU & KASHMIR,BANDIPURA,INSTITUTIONAL,TOTAL,SEMIMEDIUM,0,0,0,0,2,4
2015-16,JAMMU & KASHMIR,BANDIPURA,INSTITUTIONAL,TOTAL,MEDIUM,0,0,0,0,1,9
2015-16,JAMMU & KASHMIR,BANDIPURA,INSTITUTIONAL,TOTAL,LARGE,0,0,0,0,2,38
2015-16,JAMMU & KASHMIR,BANDIPURA,INSTITUTIONAL,TOTAL,ALL CLASSES,0,0,0,0,16,54
2015-16,JAMMU & KASHMIR,BARAMULLA,SCHEDULED CASTE,TOTAL,MARGINAL,0,0,0,0,0,0
2015-16,JAMMU & KASHMIR,BARAMULLA,SCHEDULED CASTE,TOTAL,SMALL,0,0,0,0,0,0
2015-16,JAMMU & KASHMIR,BARAMULLA,SCHEDULED CASTE,TOTAL,SEMIMEDIUM,0,0,0,0,0,0
2015-16,JAMMU & KASHMIR,BARAMULLA,SCHEDULED CASTE,TOTAL,MEDIUM,0,0,0,0,0,0
2015-16,JAMMU & KASHMIR,BARAMULLA,SCHEDULED CASTE,TOTAL,LARGE,0,0,0,0,0,0
2015-16,JAMMU & KASHMIR,BARAMULLA,SCHEDULED CASTE,TOTAL,ALL CLASSES,0,0,0,0,0,0
2015-16,JAMMU & KASHMIR,BARAMULLA,SCHEDULED TRIBES,TOTAL,MARGINAL,2714,613,1457,556,4171,1170
2015-16,JAMMU & KASHMIR,BARAMULLA,SCHEDULED TRIBES,TOTAL,SMALL,221,298,309,414,530,712
2015-16,JAMMU & KASHMIR,BARAMULLA,SCHEDULED TRIBES,TOTAL,SEMIMEDIUM,46,116,89,246,135,362
2015-16,JAMMU & KASHMIR,BARAMULLA,SCHEDULED TRIBES,TOTAL,MEDIUM,3,17,16,94,19,111
2015-16,JAMMU & KASHMIR,BARAMULLA,SCHEDULED TRIBES,TOTAL,LARGE,0,0,5,186,5,186
2015-16,JAMMU & KASHMIR,BARAMULLA,SCHEDULED TRIBES,TOTAL,ALL CLASSES,2984,1044,1876,1497,4860,2541
2015-16,JAMMU & KASHMIR,BARAMULLA,OTHERS,TOTAL,MARGINAL,70379,22272,38290,13395,108669,35667
2015-16,JAMMU & KASHMIR,BARAMULLA,OTHERS,TOTAL,SMALL,6018,8085,5692,7854,11710,15939
2015-16,JAMMU & KASHMIR,BARAMULLA,OTHERS,TOTAL,SEMIMEDIUM,1387,3607,2399,6079,3786,9686
2015-16,JAMMU & KASHMIR,BARAMULLA,OTHERS,TOTAL,MEDIUM,122,634,389,2047,511,2680
2015-16,JAMMU & KASHMIR,BARAMULLA,OTHERS,TOTAL,LARGE,2,23,17,427,19,449
2015-16,JAMMU & KASHMIR,BARAMULLA,OTHERS,TOTAL,ALL CLASSES,77908,34621,46787,29800,124695,64420
2015-16,JAMMU & KASHMIR,BARAMULLA,INSTITUTIONAL,TOTAL,MARGINAL,0,0,0,0,76,27
2015-16,JAMMU & KASHMIR,BARAMULLA,INSTITUTIONAL,TOTAL,SMALL,0,0,0,0,13,18
2015-16,JAMMU & KASHMIR,BARAMULLA,INSTITUTIONAL,TOTAL,SEMIMEDIUM,0,0,0,0,11,36
2015-16,JAMMU & KASHMIR,BARAMULLA,INSTITUTIONAL,TOTAL,MEDIUM,0,0,0,0,2,14
2015-16,JAMMU & KASHMIR,BARAMULLA,INSTITUTIONAL,TOTAL,LARGE,0,0,0,0,2,99
2015-16,JAMMU & KASHMIR,BARAMULLA,INSTITUTIONAL,TOTAL,ALL CLASSES,0,0,0,0,104,194
2015-16,JAMMU & KASHMIR,BUDGAM,SCHEDULED CASTE,TOTAL,MARGINAL,0,0,0,0,0,0
2015-16,JAMMU & KASHMIR,BUDGAM,SCHEDULED CASTE,TOTAL,SMALL,0,0,0,0,0,0
2015-16,JAMMU & KASHMIR,BUDGAM,SCHEDULED CASTE,TOTAL,SEMIMEDIUM,0,0,0,0,0,0
2015-16,JAMMU & KASHMIR,BUDGAM,SCHEDULED CASTE,TOTAL,MEDIUM,0,0,0,0,0,0
2015-16,JAMMU & KASHMIR,BUDGAM,SCHEDULED CASTE,TOTAL,LARGE,0,0,0,0,0,0
2015-16,JAMMU & KASHMIR,BUDGAM,SCHEDULED CASTE,TOTAL,ALL CLASSES,0,0,0,0,0,0
2015-16,JAMMU & KASHMIR,BUDGAM,SCHEDULED TRIBES,TOTAL,MARGINAL,1414,631,241,110,1655,741
2015-16,JAMMU & KASHMIR,BUDGAM,SCHEDULED TRIBES,TOTAL,SMALL,46,83,24,38,70,122
2015-16,JAMMU & KASHMIR,BUDGAM,SCHEDULED TRIBES,TOTAL,SEMIMEDIUM,0,0,2,5,2,5
2015-16,JAMMU & KASHMIR,BUDGAM,SCHEDULED TRIBES,TOTAL,MEDIUM,0,0,0,0,0,0
2015-16,JAMMU & KASHMIR,BUDGAM,SCHEDULED TRIBES,TOTAL,LARGE,0,0,0,0,0,0
2015-16,JAMMU & KASHMIR,BUDGAM,SCHEDULED TRIBES,TOTAL,ALL CLASSES,1460,714,267,153,1727,867
2015-16,JAMMU & KASHMIR,BUDGAM,OTHERS,TOTAL,MARGINAL,75729,24667,31497,7459,107226,32126
2015-16,JAMMU & KASHMIR,BUDGAM,OTHERS,TOTAL,SMALL,4667,6258,2033,2625,6700,8882
2015-16,JAMMU & KASHMIR,BUDGAM,OTHERS,TOTAL,SEMIMEDIUM,1791,4261,549,1444,2340,5705
