year,state,district,social_group,gender,size_category,ind_holdings_number,ind_holdings_area_ha,jnt_holdings_number,jnt_holdings_area_ha,tot_holdings_number,tot_holdings_area_ha
2015-16,JHARKHAND,BOKARO,SCHEDULED CASTE,TOTAL,MARGINAL,7428,2825,1846,942,9274,3767
2015-16,JHARKHAND,BOKARO,SCHEDULED CASTE,TOTAL,SMALL,1217,1575,447,643,1664,2217
2015-16,JHARKHAND,BOKARO,SCHEDULED CASTE,TOTAL,SEMIMEDIUM,491,1399,224,588,715,1987
2015-16,JHARKHAND,BOKARO,SCHEDULED CASTE,TOTAL,MEDIUM,138,815,66,345,204,1161
2015-16,JHARKHAND,BOKARO,SCHEDULED CASTE,TOTAL,LARGE,39,634,16,277,55,911
2015-16,JHARKHAND,BOKARO,SCHEDULED CASTE,TOTAL,ALL CLASSES,9313,7249,2599,2795,11912,10045
2015-16,JHARKHAND,BOKARO,SCHEDULED TRIBES,TOTAL,MARGINAL,7677,3306,1447,569,9124,3874
2015-16,JHARKHAND,BOKARO,SCHEDULED TRIBES,TOTAL,SMALL,2378,3509,349,515,2727,4024
2015-16,JHARKHAND,BOKARO,SCHEDULED TRIBES,TOTAL,SEMIMEDIUM,994,2528,249,707,1243,3235
2015-16,JHARKHAND,BOKARO,SCHEDULED TRIBES,TOTAL,MEDIUM,415,2409,281,1644,696,4053
2015-16,JHARKHAND,BOKARO,SCHEDULED TRIBES,TOTAL,LARGE,62,1007,50,850,112,1858
2015-16,JHARKHAND,BOKARO,SCHEDULED TRIBES,TOTAL,ALL CLASSES,11526,12760,2376,4285,13902,17045
2015-16,JHARKHAND,BOKARO,OTHERS,TOTAL,MARGINAL,27462,9241,5169,2353,32631,11595
2015-16,JHARKHAND,BOKARO,OTHERS,TOTAL,SMALL,6148,8026,1522,2410,7670,10437
2015-16,JHARKHAND,BOKARO,OTHERS,TOTAL,SEMIMEDIUM,4274,10899,1589,4444,5863,15342
2015-16,JHARKHAND,BOKARO,OTHERS,TOTAL,MEDIUM,1464,8176,677,3850,2141,12027
2015-16,JHARKHAND,BOKARO,OTHERS,TOTAL,LARGE,169,2262,106,1458,275,3720
2015-16,JHARKHAND,BOKARO,OTHERS,TOTAL,ALL CLASSES,39517,38605,9063,14515,48580,53120
2015-16,JHARKHAND,BOKARO,INSTITUTIONAL,TOTAL,MARGINAL,0,0,0,0,2,1
2015-16,JHARKHAND,BOKARO,INSTITUTIONAL,TOTAL,SMALL,0,0,0,0,0,0
2015-16,JHARKHAND,BOKARO,INSTITUTIONAL,TOTAL,SEMIMEDIUM,0,0,0,0,1,3
