year,state,district,social_group,gender,size_category,ind_holdings_number,ind_holdings_area_ha,jnt_holdings_number,jnt_holdings_area_ha,tot_holdings_number,tot_holdings_area_ha
2015-16,KARNATAKA,BAGALKOTE,SCHEDULED CASTE,TOTAL,MARGINAL,11096,6065,0,0,11096,6065
2015-16,KARNATAKA,BAGALKOTE,SCHEDULED CASTE,TOTAL,SMALL,7190,10143,0,0,7190,10143
2015-16,KARNATAKA,BAGALKOTE,SCHEDULED CASTE,TOTAL,SEMIMEDIUM,2851,7503,0,0,2851,7503
2015-16,KARNATAKA,BAGALKOTE,SCHEDULED CASTE,TOTAL,MEDIUM,692,3877,0,0,692,3877
2015-16,KARNATAKA,BAGALKOTE,SCHEDULED CASTE,TOTAL,LARGE,38,484,0,0,38,484
2015-16,KARNATAKA,BAGALKOTE,SCHEDULED CASTE,TOTAL,ALL CLASSES,21867,28072,0,0,21867,28072
2015-16,KARNATAKA,BAGALKOTE,SCHEDULED TRIBES,TOTAL,MARGINAL,4437,2549,0,0,4437,2549
2015-16,KARNATAKA,BAGALKOTE,SCHEDULED TRIBES,TOTAL,SMALL,3509,5088,0,0,3509,5088
2015-16,KARNATAKA,BAGALKOTE,SCHEDULED TRIBES,TOTAL,SEMIMEDIUM,1964,5231,0,0,1964,5231
2015-16,KARNATAKA,BAGALKOTE,SCHEDULED TRIBES,TOTAL,MEDIUM,633,3578,0,0,633,3578
2015-16,KARNATAKA,BAGALKOTE,SCHEDULED TRIBES,TOTAL,LARGE,34,423,0,0,34,423
2015-16,KARNATAKA,BAGALKOTE,SCHEDULED TRIBES,TOTAL,ALL CLASSES,10577,16868,0,0,10577,16868
2015-16,KARNATAKA,BAGALKOTE,OTHERS,TOTAL,MARGINAL,73971,42660,0,0,73971,42660
2015-16,KARNATAKA,BAGALKOTE,OTHERS,TOTAL,SMALL,74047,107245,0,0,74047,107245
2015-16,KARNATAKA,BAGALKOTE,OTHERS,TOTAL,SEMIMEDIUM,47069,128451,0,0,47069,128451
2015-16,KARNATAKA,BAGALKOTE,OTHERS,TOTAL,MEDIUM,20183,115462,0,0,20183,115462
2015-16,KARNATAKA,BAGALKOTE,OTHERS,TOTAL,LARGE,2032,27979,0,0,2032,27979
2015-16,KARNATAKA,BAGALKOTE,OTHERS,TOTAL,ALL CLASSES,217302,421798,0,0,217302,421798
2015-16,KARNATAKA,BAGALKOTE,INSTITUTIONAL,TOTAL,MARGINAL,0,0,0,0,111,44
2015-16,KARNATAKA,BAGALKOTE,INSTITUTIONAL,TOTAL,SMALL,0,0,0,0,42,57
2015-16,KARNATAKA,BAGALKOTE,INSTITUTIONAL,TOTAL,SEMIMEDIUM,0,0,0,0,32,91
2015-16,KARNATAKA,BAGALKOTE,INSTITUTIONAL,TOTAL,MEDIUM,0,0,0,0,33,199
2015-16,KARNATAKA,BAGALKOTE,INSTITUTIONAL,TOTAL,LARGE,0,0,0,0,45,2935
2015-16,KARNATAKA,BAGALKOTE,INSTITUTIONAL,TOTAL,ALL CLASSES,0,0,0,0,263,3325
2015-16,KARNATAKA,BALLARI,SCHEDULED CASTE,TOTAL,MARGINAL,19181,9757,341,171,19522,9928
2015-16,KARNATAKA,BALLARI,SCHEDULED CASTE,TOTAL,SMALL,12297,16415,304,425,12601,16840
2015-16,KARNATAKA,BALLARI,SCHEDULED CASTE,TOTAL,SEMIMEDIUM,6204,15919,266,710,6470,16628
2015-16,KARNATAKA,BALLARI,SCHEDULED CASTE,TOTAL,MEDIUM,1669,9039,122,668,1791,9708
2015-16,KARNATAKA,BALLARI,SCHEDULED CASTE,TOTAL,LARGE,126,1754,15,216,141,1970
2015-16,KARNATAKA,BALLARI,SCHEDULED CASTE,TOTAL,ALL CLASSES,39477,52884,1048,2189,40525,55074
2015-16,KARNATAKA,BALLARI,SCHEDULED TRIBES,TOTAL,MARGINAL,20965,10259,440,207,21405,10467
2015-16,KARNATAKA,BALLARI,SCHEDULED TRIBES,TOTAL,SMALL,13019,17747,310,438,13329,18185
2015-16,KARNATAKA,BALLARI,SCHEDULED TRIBES,TOTAL,SEMIMEDIUM,8172,21157,384,1030,8556,22187
2015-16,KARNATAKA,BALLARI,SCHEDULED TRIBES,TOTAL,MEDIUM,2988,16673,289,1686,3277,18360
2015-16,KARNATAKA,BALLARI,SCHEDULED TRIBES,TOTAL,LARGE,269,3769,69,1067,338,4834
2015-16,KARNATAKA,BALLARI,SCHEDULED TRIBES,TOTAL,ALL CLASSES,45413,69605,1492,4427,46905,74033
2015-16,KARNATAKA,BALLARI,OTHERS,TOTAL,MARGINAL,95758,44696,2077,898,97835,45594
2015-16,KARNATAKA,BALLARI,OTHERS,TOTAL,SMALL,61766,84203,1599,2217,63365,86420
2015-16,KARNATAKA,BALLARI,OTHERS,TOTAL,SEMIMEDIUM,43394,112417,1545,4146,44939,116563
2015-16,KARNATAKA,BALLARI,OTHERS,TOTAL,MEDIUM,18761,104904,1021,5911,19782,110816
2015-16,KARNATAKA,BALLARI,OTHERS,TOTAL,LARGE,2028,27845,155,2292,2183,30138
2015-16,KARNATAKA,BALLARI,OTHERS,TOTAL,ALL CLASSES,221707,374066,6397,15464,228104,389531
2015-16,KARNATAKA,BALLARI,INSTITUTIONAL,TOTAL,MARGINAL,0,0,0,0,286,113
2015-16,KARNATAKA,BALLARI,INSTITUTIONAL,TOTAL,SMALL,0,0,0,0,164,228
2015-16,KARNATAKA,BALLARI,INSTITUTIONAL,TOTAL,SEMIMEDIUM,0,0,0,0,126,344
2015-16,KARNATAKA,BALLARI,INSTITUTIONAL,TOTAL,MEDIUM,0,0,0,0,128,795
2015-16,KARNATAKA,BALLARI,INSTITUTIONAL,TOTAL,LARGE,0,0,0,0,54,1328
2015-16,KARNATAKA,BALLARI,INSTITUTIONAL,TOTAL,ALL CLASSES,0,0,0,0,758,2808
2015-16,KARNATAKA,BELAGAVI,SCHEDULED CASTE,TOTAL,MARGINAL,25039,10666,1,0,25040,10666
2015-16,KARNATAKA,BELAGAVI,SCHEDULED CASTE,TOTAL,SMALL,9003,12665,1,1,9004,12667
2015-16,KARNATAKA,BELAGAVI,SCHEDULED CASTE,TOTAL,SEMIMEDIUM,3887,10234,1,3,3888,10237
2015-16,KARNATAKA,BELAGAVI,SCHEDULED CASTE,TOTAL,MEDIUM,1096,6155,3,14,1099,6169
2015-16,KARNATAKA,BELAGAVI,SCHEDULED CASTE,TOTAL,LARGE,100,1398,0,0,100,1398
2015-16,KARNATAKA,BELAGAVI,SCHEDULED CASTE,TOTAL,ALL CLASSES,39125,41118,6,19,39131,41137
2015-16,KARNATAKA,BELAGAVI,SCHEDULED TRIBES,TOTAL,MARGINAL,11045,5414,2,1,11047,5415
2015-16,KARNATAKA,BELAGAVI,SCHEDULED TRIBES,TOTAL,SMALL,6261,8893,0,0,6261,8893
