year,state,district,social_group,gender,size_category,ind_holdings_number,ind_holdings_area_ha,jnt_holdings_number,jnt_holdings_area_ha,tot_holdings_number,tot_holdings_area_ha
2015-16,KERALA,ALAPPUZHA,SCHEDULED CASTE,TOTAL,MARGINAL,39632,2405,95,19,39727,2424
2015-16,KERALA,ALAPPUZHA,SCHEDULED CASTE,TOTAL,SMALL,307,425,10,16,317,440
2015-16,KERALA,ALAPPUZHA,SCHEDULED CASTE,TOTAL,SEMIMEDIUM,90,234,5,14,95,248
2015-16,KERALA,ALAPPUZHA,SCHEDULED CASTE,TOTAL,MEDIUM,20,117,10,53,30,171
2015-16,KERALA,ALAPPUZHA,SCHEDULED CASTE,TOTAL,LARGE,5,94,0,0,5,94
2015-16,KERALA,ALAPPUZHA,SCHEDULED CASTE,TOTAL,ALL CLASSES,40054,3276,120,102,40174,3378
2015-16,KERALA,ALAPPUZHA,SCHEDULED TRIBES,TOTAL,MARGINAL,685,20,0,0,685,20
2015-16,KERALA,ALAPPUZHA,SCHEDULED TRIBES,TOTAL,SMALL,0,0,0,0,0,0
2015-16,KERALA,ALAPPUZHA,SCHEDULED TRIBES,TOTAL,SEMIMEDIUM,0,0,0,0,0,0
2015-16,KERALA,ALAPPUZHA,SCHEDULED TRIBES,TOTAL,MEDIUM,0,0,0,0,0,0
2015-16,KERALA,ALAPPUZHA,SCHEDULED TRIBES,TOTAL,LARGE,0,0,0,0,0,0
2015-16,KERALA,ALAPPUZHA,SCHEDULED TRIBES,TOTAL,ALL CLASSES,685,20,0,0,685,20
2015-16,KERALA,ALAPPUZHA,OTHERS,TOTAL,MARGINAL,468721,45576,657,171,469378,45747
2015-16,KERALA,ALAPPUZHA,OTHERS,TOTAL,SMALL,5715,7630,45,60,5760,7690
2015-16,KERALA,ALAPPUZHA,OTHERS,TOTAL,SEMIMEDIUM,1897,4896,35,89,1932,4985
2015-16,KERALA,ALAPPUZHA,OTHERS,TOTAL,MEDIUM,528,2900,10,77,538,2977
2015-16,KERALA,ALAPPUZHA,OTHERS,TOTAL,LARGE,96,1479,15,195,111,1674
2015-16,KERALA,ALAPPUZHA,OTHERS,TOTAL,ALL CLASSES,476957,62481,762,593,477719,63073
2015-16,KERALA,ALAPPUZHA,INSTITUTIONAL,TOTAL,MARGINAL,0,0,0,0,4114,943
2015-16,KERALA,ALAPPUZHA,INSTITUTIONAL,TOTAL,SMALL,0,0,0,0,393,534
2015-16,KERALA,ALAPPUZHA,INSTITUTIONAL,TOTAL,SEMIMEDIUM,0,0,0,0,164,445
2015-16,KERALA,ALAPPUZHA,INSTITUTIONAL,TOTAL,MEDIUM,0,0,0,0,50,262
2015-16,KERALA,ALAPPUZHA,INSTITUTIONAL,TOTAL,LARGE,0,0,0,0,35,640
2015-16,KERALA,ALAPPUZHA,INSTITUTIONAL,TOTAL,ALL CLASSES,0,0,0,0,4756,2824
2015-16,KERALA,ERNAKULAM,SCHEDULED CASTE,TOTAL,MARGINAL,44317,1933,198,24,44515,1957
2015-16,KERALA,ERNAKULAM,SCHEDULED CASTE,TOTAL,SMALL,135,172,5,6,140,178
2015-16,KERALA,ERNAKULAM,SCHEDULED CASTE,TOTAL,SEMIMEDIUM,30,74,0,0,30,74
2015-16,KERALA,ERNAKULAM,SCHEDULED CASTE,TOTAL,MEDIUM,5,21,0,0,5,21
2015-16,KERALA,ERNAKULAM,SCHEDULED CASTE,TOTAL,LARGE,0,0,0,0,0,0
2015-16,KERALA,ERNAKULAM,SCHEDULED CASTE,TOTAL,ALL CLASSES,44487,2200,203,30,44690,2230
2015-16,KERALA,ERNAKULAM,SCHEDULED TRIBES,TOTAL,MARGINAL,3770,776,0,0,3770,776
2015-16,KERALA,ERNAKULAM,SCHEDULED TRIBES,TOTAL,SMALL,482,600,0,0,482,600
2015-16,KERALA,ERNAKULAM,SCHEDULED TRIBES,TOTAL,SEMIMEDIUM,116,278,0,0,116,278
2015-16,KERALA,ERNAKULAM,SCHEDULED TRIBES,TOTAL,MEDIUM,10,54,0,0,10,54
2015-16,KERALA,ERNAKULAM,SCHEDULED TRIBES,TOTAL,LARGE,0,0,0,0,0,0
2015-16,KERALA,ERNAKULAM,SCHEDULED TRIBES,TOTAL,ALL CLASSES,4378,1708,0,0,4378,1708
2015-16,KERALA,ERNAKULAM,OTHERS,TOTAL,MARGINAL,634648,59982,1737,346,636385,60327
2015-16,KERALA,ERNAKULAM,OTHERS,TOTAL,SMALL,13110,17542,80,112,13190,17654
2015-16,KERALA,ERNAKULAM,OTHERS,TOTAL,SEMIMEDIUM,3884,9911,60,145,3944,10056
2015-16,KERALA,ERNAKULAM,OTHERS,TOTAL,MEDIUM,945,5099,30,151,975,5249
2015-16,KERALA,ERNAKULAM,OTHERS,TOTAL,LARGE,85,1672,0,0,85,1672
2015-16,KERALA,ERNAKULAM,OTHERS,TOTAL,ALL CLASSES,652672,94204,1907,753,654579,94957
2015-16,KERALA,ERNAKULAM,INSTITUTIONAL,TOTAL,MARGINAL,0,0,0,0,6652,1327
2015-16,KERALA,ERNAKULAM,INSTITUTIONAL,TOTAL,SMALL,0,0,0,0,641,845
2015-16,KERALA,ERNAKULAM,INSTITUTIONAL,TOTAL,SEMIMEDIUM,0,0,0,0,308,833
2015-16,KERALA,ERNAKULAM,INSTITUTIONAL,TOTAL,MEDIUM,0,0,0,0,133,720
2015-16,KERALA,ERNAKULAM,INSTITUTIONAL,TOTAL,LARGE,0,0,0,0,50,1619
2015-16,KERALA,ERNAKULAM,INSTITUTIONAL,TOTAL,ALL CLASSES,0,0,0,0,7784,5344
2015-16,KERALA,IDUKKI,SCHEDULED CASTE,TOTAL,MARGINAL,31581,3096,15,5,31596,3101
2015-16,KERALA,IDUKKI,SCHEDULED CASTE,TOTAL,SMALL,467,592,0,0,467,592
2015-16,KERALA,IDUKKI,SCHEDULED CASTE,TOTAL,SEMIMEDIUM,114,275,0,0,114,275
2015-16,KERALA,IDUKKI,SCHEDULED CASTE,TOTAL,MEDIUM,10,50,0,0,10,50
2015-16,KERALA,IDUKKI,SCHEDULED CASTE,TOTAL,LARGE,0,0,0,0,0,0
2015-16,KERALA,IDUKKI,SCHEDULED CASTE,TOTAL,ALL CLASSES,32172,4012,15,5,32187,4018
2015-16,KERALA,IDUKKI,SCHEDULED TRIBES,TOTAL,MARGINAL,14417,4889,30,10,14447,4899
2015-16,KERALA,IDUKKI,SCHEDULED TRIBES,TOTAL,SMALL,2943,3879,5,8,2948,3887
2015-16,KERALA,IDUKKI,SCHEDULED TRIBES,TOTAL,SEMIMEDIUM,980,2473,0,0,980,2473
2015-16,KERALA,IDUKKI,SCHEDULED TRIBES,TOTAL,MEDIUM,85,423,0,0,85,423
2015-16,KERALA,IDUKKI,SCHEDULED TRIBES,TOTAL,LARGE,0,0,0,0,0,0
2015-16,KERALA,IDUKKI,SCHEDULED TRIBES,TOTAL,ALL CLASSES,18425,11663,35,18,18460,11681
2015-16,KERALA,IDUKKI,OTHERS,TOTAL,MARGINAL,194032,45590,668,160,194700,45750
2015-16,KERALA,IDUKKI,OTHERS,TOTAL,SMALL,19511,25539,75,101,19586,25640
2015-16,KERALA,IDUKKI,OTHERS,TOTAL,SEMIMEDIUM,4845,11964,9,20,4854,11984
2015-16,KERALA,IDUKKI,OTHERS,TOTAL,MEDIUM,762,3992,5,36,767,4028
2015-16,KERALA,IDUKKI,OTHERS,TOTAL,LARGE,115,1842,0,0,115,1842
2015-16,KERALA,IDUKKI,OTHERS,TOTAL,ALL CLASSES,219265,88927,757,316,220022,89243
2015-16,KERALA,IDUKKI,INSTITUTIONAL,TOTAL,MARGINAL,0,0,0,0,2815,587
2015-16,KERALA,IDUKKI,INSTITUTIONAL,TOTAL,SMALL,0,0,0,0,375,494
2015-16,KERALA,IDUKKI,INSTITUTIONAL,TOTAL,SEMIMEDIUM,0,0,0,0,184,487
2015-16,KERALA,IDUKKI,INSTITUTIONAL,TOTAL,MEDIUM,0,0,0,0,114,592
2015-16,KERALA,IDUKKI,INSTITUTIONAL,TOTAL,LARGE,0,0,0,0,148,40623
2015-16,KERALA,IDUKKI,INSTITUTIONAL,TOTAL,ALL CLASSES,0,0,0,0,3636,42782
2015-16,KERALA,KANNUR,SCHEDULED CASTE,TOTAL,MARGINAL,13596,904,35,13,13631,918
2015-16,KERALA,KANNUR,SCHEDULED CASTE,TOTAL,SMALL,50,62,5,6,55,68
2015-16,KERALA,KANNUR,SCHEDULED CASTE,TOTAL,SEMIMEDIUM,0,0,0,0,0,0
2015-16,KERALA,KANNUR,SCHEDULED CASTE,TOTAL,MEDIUM,0,0,0,0,0,0
2015-16,KERALA,KANNUR,SCHEDULED CASTE,TOTAL,LARGE,0,0,0,0,0,0
2015-16,KERALA,KANNUR,SCHEDULED CASTE,TOTAL,ALL CLASSES,13646,967,40,19,13686,986
2015-16,KERALA,KANNUR,SCHEDULED TRIBES,TOTAL,MARGINAL,6778,1293,0,0,6778,1293
2015-16,KERALA,KANNUR,SCHEDULED TRIBES,TOTAL,SMALL,125,168,0,0,125,168
2015-16,KERALA,KANNUR,SCHEDULED TRIBES,TOTAL,SEMIMEDIUM,30,64,0,0,30,64
2015-16,KERALA,KANNUR,SCHEDULED TRIBES,TOTAL,MEDIUM,0,0,0,0,0,0
2015-16,KERALA,KANNUR,SCHEDULED TRIBES,TOTAL,LARGE,0,0,0,0,0,0
2015-16,KERALA,KANNUR,SCHEDULED TRIBES,TOTAL,ALL CLASSES,6933,1525,0,0,6933,1525
2015-16,KERALA,KANNUR,OTHERS,TOTAL,MARGINAL,513609,72671,865,269,514474,72940
2015-16,KERALA,KANNUR,OTHERS,TOTAL,SMALL,14987,20123,120,166,15107,20289
2015-16,KERALA,KANNUR,OTHERS,TOTAL,SEMIMEDIUM,4152,10395,30,69,4182,10464
2015-16,KERALA,KANNUR,OTHERS,TOTAL,MEDIUM,543,2682,10,49,553,2731
2015-16,KERALA,KANNUR,OTHERS,TOTAL,LARGE,0,0,0,0,0,0
2015-16,KERALA,KANNUR,OTHERS,TOTAL,ALL CLASSES,533291,105871,1025,553,534316,106424
2015-16,KERALA,KANNUR,INSTITUTIONAL,TOTAL,MARGINAL,0,0,0,0,3329,705
2015-16,KERALA,KANNUR,INSTITUTIONAL,TOTAL,SMALL,0,0,0,0,358,468
2015-16,KERALA,KANNUR,INSTITUTIONAL,TOTAL,SEMIMEDIUM,0,0,0,0,249,676
2015-16,KERALA,KANNUR,INSTITUTIONAL,TOTAL,MEDIUM,0,0,0,0,119,700
2015-16,KERALA,KANNUR,INSTITUTIONAL,TOTAL,LARGE,0,0,0,0,45,1286
2015-16,KERALA,KANNUR,INSTITUTIONAL,TOTAL,ALL CLASSES,0,0,0,0,4100,3835
2015-16,KERALA,KASARAGOD,SCHEDULED CASTE,TOTAL,MARGINAL,6971,671,0,0,6971,671
