year,state,district,social_group,gender,size_category,ind_holdings_number,ind_holdings_area_ha,jnt_holdings_number,jnt_holdings_area_ha,tot_holdings_number,tot_holdings_area_ha
2015-16,MADHYA PRADESH,AAGAR,SCHEDULED CASTE,TOTAL,MARGINAL,10282,5344,655,347,10937,5689
2015-16,MADHYA PRADESH,AAGAR,SCHEDULED CASTE,TOTAL,SMALL,4738,6268,507,686,5245,6954
2015-16,MADHYA PRADESH,AAGAR,SCHEDULED CASTE,TOTAL,SEMIMEDIUM,1574,3943,207,565,1781,4508
2015-16,MADHYA PRADESH,AAGAR,SCHEDULED CASTE,TOTAL,MEDIUM,425,2099,69,363,494,2461
2015-16,MADHYA PRADESH,AAGAR,SCHEDULED CASTE,TOTAL,LARGE,6,159,6,92,12,251
2015-16,MADHYA PRADESH,AAGAR,SCHEDULED CASTE,TOTAL,ALL CLASSES,17025,17811,1444,2052,18469,19863
2015-16,MADHYA PRADESH,AAGAR,SCHEDULED TRIBES,TOTAL,MARGINAL,1161,610,111,50,1272,659
2015-16,MADHYA PRADESH,AAGAR,SCHEDULED TRIBES,TOTAL,SMALL,658,886,78,114,736,1000
2015-16,MADHYA PRADESH,AAGAR,SCHEDULED TRIBES,TOTAL,SEMIMEDIUM,267,701,56,159,323,860
2015-16,MADHYA PRADESH,AAGAR,SCHEDULED TRIBES,TOTAL,MEDIUM,82,409,11,59,93,468
2015-16,MADHYA PRADESH,AAGAR,SCHEDULED TRIBES,TOTAL,LARGE,1,10,0,0,1,10
2015-16,MADHYA PRADESH,AAGAR,SCHEDULED TRIBES,TOTAL,ALL CLASSES,2169,2615,256,383,2425,2998
2015-16,MADHYA PRADESH,AAGAR,OTHERS,TOTAL,MARGINAL,34620,19335,2585,1333,37205,20668
2015-16,MADHYA PRADESH,AAGAR,OTHERS,TOTAL,SMALL,20422,28980,1541,2223,21963,31203
2015-16,MADHYA PRADESH,AAGAR,OTHERS,TOTAL,SEMIMEDIUM,14233,39912,1360,3799,15593,43711
2015-16,MADHYA PRADESH,AAGAR,OTHERS,TOTAL,MEDIUM,6935,38147,816,4920,7751,43067
2015-16,MADHYA PRADESH,AAGAR,OTHERS,TOTAL,LARGE,439,7525,127,1704,566,9228
2015-16,MADHYA PRADESH,AAGAR,OTHERS,TOTAL,ALL CLASSES,76649,133899,6429,13979,83078,147877
2015-16,MADHYA PRADESH,AAGAR,INSTITUTIONAL,TOTAL,MARGINAL,0,0,0,0,0,0
2015-16,MADHYA PRADESH,AAGAR,INSTITUTIONAL,TOTAL,SMALL,0,0,0,0,0,0
2015-16,MADHYA PRADESH,AAGAR,INSTITUTIONAL,TOTAL,SEMIMEDIUM,0,0,0,0,0,0
2015-16,MADHYA PRADESH,AAGAR,INSTITUTIONAL,TOTAL,MEDIUM,0,0,0,0,0,0
2015-16,MADHYA PRADESH,AAGAR,INSTITUTIONAL,TOTAL,LARGE,0,0,0,0,0,0
2015-16,MADHYA PRADESH,AAGAR,INSTITUTIONAL,TOTAL,ALL CLASSES,0,0,0,0,0,0
2015-16,MADHYA PRADESH,ALIRAJPUR,SCHEDULED CASTE,TOTAL,MARGINAL,1052,503,77,49,1129,552
2015-16,MADHYA PRADESH,ALIRAJPUR,SCHEDULED CASTE,TOTAL,SMALL,440,574,54,68,494,642
2015-16,MADHYA PRADESH,ALIRAJPUR,SCHEDULED CASTE,TOTAL,SEMIMEDIUM,174,459,39,114,213,573
2015-16,MADHYA PRADESH,ALIRAJPUR,SCHEDULED CASTE,TOTAL,MEDIUM,45,221,22,125,67,346
2015-16,MADHYA PRADESH,ALIRAJPUR,SCHEDULED CASTE,TOTAL,LARGE,0,0,1,12,1,12
2015-16,MADHYA PRADESH,ALIRAJPUR,SCHEDULED CASTE,TOTAL,ALL CLASSES,1711,1757,193,367,1904,2124
2015-16,MADHYA PRADESH,ALIRAJPUR,SCHEDULED TRIBES,TOTAL,MARGINAL,43017,24466,1202,724,44219,25190
2015-16,MADHYA PRADESH,ALIRAJPUR,SCHEDULED TRIBES,TOTAL,SMALL,28666,41503,1106,1654,29772,43157
2015-16,MADHYA PRADESH,ALIRAJPUR,SCHEDULED TRIBES,TOTAL,SEMIMEDIUM,18580,50813,1254,3626,19834,54439
2015-16,MADHYA PRADESH,ALIRAJPUR,SCHEDULED TRIBES,TOTAL,MEDIUM,6475,36387,949,5453,7424,41842
2015-16,MADHYA PRADESH,ALIRAJPUR,SCHEDULED TRIBES,TOTAL,LARGE,335,4335,124,1692,459,6027
2015-16,MADHYA PRADESH,ALIRAJPUR,SCHEDULED TRIBES,TOTAL,ALL CLASSES,97073,157504,4635,13150,101708,170654
2015-16,MADHYA PRADESH,ALIRAJPUR,OTHERS,TOTAL,MARGINAL,812,399,31,19,843,417
2015-16,MADHYA PRADESH,ALIRAJPUR,OTHERS,TOTAL,SMALL,372,515,28,38,400,554
2015-16,MADHYA PRADESH,ALIRAJPUR,OTHERS,TOTAL,SEMIMEDIUM,187,544,32,92,219,637
2015-16,MADHYA PRADESH,ALIRAJPUR,OTHERS,TOTAL,MEDIUM,81,483,26,154,107,637
2015-16,MADHYA PRADESH,ALIRAJPUR,OTHERS,TOTAL,LARGE,10,139,5,66,15,206
2015-16,MADHYA PRADESH,ALIRAJPUR,OTHERS,TOTAL,ALL CLASSES,1462,2082,122,370,1584,2452
2015-16,MADHYA PRADESH,ALIRAJPUR,INSTITUTIONAL,TOTAL,MARGINAL,0,0,0,0,6,4
2015-16,MADHYA PRADESH,ALIRAJPUR,INSTITUTIONAL,TOTAL,SMALL,0,0,0,0,7,10
2015-16,MADHYA PRADESH,ALIRAJPUR,INSTITUTIONAL,TOTAL,SEMIMEDIUM,0,0,0,0,5,12
2015-16,MADHYA PRADESH,ALIRAJPUR,INSTITUTIONAL,TOTAL,MEDIUM,0,0,0,0,4,26
2015-16,MADHYA PRADESH,ALIRAJPUR,INSTITUTIONAL,TOTAL,LARGE,0,0,0,0,3,90
2015-16,MADHYA PRADESH,ALIRAJPUR,INSTITUTIONAL,TOTAL,ALL CLASSES,0,0,0,0,25,142
2015-16,MADHYA PRADESH,ANUPPUR,SCHEDULED CASTE,TOTAL,MARGINAL,7468,3047,82,44,7550,3091
