year,state,district,social_group,gender,size_category,ind_holdings_number,ind_holdings_area_ha,jnt_holdings_number,jnt_holdings_area_ha,tot_holdings_number,tot_holdings_area_ha
2015-16,MAHARASHTRA,AHMEDNAGAR,SCHEDULED CASTE,TOTAL,MARGINAL,40073,19154,1344,624,41417,19778
2015-16,MAHARASHTRA,AHMEDNAGAR,SCHEDULED CASTE,TOTAL,SMALL,17677,24069,519,912,18196,24981
2015-16,MAHARASHTRA,AHMEDNAGAR,SCHEDULED CASTE,TOTAL,SEMIMEDIUM,8792,23042,219,618,9011,23661
2015-16,MAHARASHTRA,AHMEDNAGAR,SCHEDULED CASTE,TOTAL,MEDIUM,1897,10389,68,367,1965,10756
2015-16,MAHARASHTRA,AHMEDNAGAR,SCHEDULED CASTE,TOTAL,LARGE,165,2616,2,23,167,2639
2015-16,MAHARASHTRA,AHMEDNAGAR,SCHEDULED CASTE,TOTAL,ALL CLASSES,68604,79270,2152,2544,70756,81814
2015-16,MAHARASHTRA,AHMEDNAGAR,SCHEDULED TRIBES,TOTAL,MARGINAL,23412,11534,675,348,24087,11881
2015-16,MAHARASHTRA,AHMEDNAGAR,SCHEDULED TRIBES,TOTAL,SMALL,13567,18836,360,515,13927,19351
2015-16,MAHARASHTRA,AHMEDNAGAR,SCHEDULED TRIBES,TOTAL,SEMIMEDIUM,9161,25069,291,783,9452,25852
2015-16,MAHARASHTRA,AHMEDNAGAR,SCHEDULED TRIBES,TOTAL,MEDIUM,3211,17776,120,659,3331,18436
2015-16,MAHARASHTRA,AHMEDNAGAR,SCHEDULED TRIBES,TOTAL,LARGE,268,3650,9,127,277,3777
2015-16,MAHARASHTRA,AHMEDNAGAR,SCHEDULED TRIBES,TOTAL,ALL CLASSES,49619,76866,1455,2432,51074,79298
2015-16,MAHARASHTRA,AHMEDNAGAR,OTHERS,TOTAL,MARGINAL,524602,222611,15270,6510,539872,229121
2015-16,MAHARASHTRA,AHMEDNAGAR,OTHERS,TOTAL,SMALL,245147,318207,5998,8024,251145,326232
2015-16,MAHARASHTRA,AHMEDNAGAR,OTHERS,TOTAL,SEMIMEDIUM,123818,320964,2914,7720,126732,328684
2015-16,MAHARASHTRA,AHMEDNAGAR,OTHERS,TOTAL,MEDIUM,33340,183714,1009,5717,34349,189431
2015-16,MAHARASHTRA,AHMEDNAGAR,OTHERS,TOTAL,LARGE,2576,49998,146,3095,2722,53093
