year,state,district,social_group,gender,size_category,ind_holdings_number,ind_holdings_area_ha,jnt_holdings_number,jnt_holdings_area_ha,tot_holdings_number,tot_holdings_area_ha
2015-16,ODISHA,ANGUL,SCHEDULED CASTE,TOTAL,MARGINAL,16426,9320,0,0,16426,9320
2015-16,ODISHA,ANGUL,SCHEDULED CASTE,TOTAL,SMALL,1300,2476,0,0,1300,2476
2015-16,ODISHA,ANGUL,SCHEDULED CASTE,TOTAL,SEMIMEDIUM,288,852,0,0,288,852
2015-16,ODISHA,ANGUL,SCHEDULED CASTE,TOTAL,MEDIUM,20,124,0,0,20,124
2015-16,ODISHA,ANGUL,SCHEDULED CASTE,TOTAL,LARGE,0,0,0,0,0,0
2015-16,ODISHA,ANGUL,SCHEDULED CASTE,TOTAL,ALL CLASSES,18034,12772,0,0,18034,12772
2015-16,ODISHA,ANGUL,SCHEDULED TRIBES,TOTAL,MARGINAL,18562,11681,0,0,18562,11681
2015-16,ODISHA,ANGUL,SCHEDULED TRIBES,TOTAL,SMALL,2024,4001,0,0,2024,4001
2015-16,ODISHA,ANGUL,SCHEDULED TRIBES,TOTAL,SEMIMEDIUM,436,1342,0,0,436,1342
2015-16,ODISHA,ANGUL,SCHEDULED TRIBES,TOTAL,MEDIUM,61,324,0,0,61,324
2015-16,ODISHA,ANGUL,SCHEDULED TRIBES,TOTAL,LARGE,0,0,0,0,0,0
2015-16,ODISHA,ANGUL,SCHEDULED TRIBES,TOTAL,ALL CLASSES,21083,17349,0,0,21083,17349
2015-16,ODISHA,ANGUL,OTHERS,TOTAL,MARGINAL,92720,57643,0,0,92720,57643
2015-16,ODISHA,ANGUL,OTHERS,TOTAL,SMALL,12646,24855,0,0,12646,24855
2015-16,ODISHA,ANGUL,OTHERS,TOTAL,SEMIMEDIUM,3545,10982,0,0,3545,10982
2015-16,ODISHA,ANGUL,OTHERS,TOTAL,MEDIUM,655,3789,0,0,655,3789
2015-16,ODISHA,ANGUL,OTHERS,TOTAL,LARGE,55,1158,0,0,55,1158
2015-16,ODISHA,ANGUL,OTHERS,TOTAL,ALL CLASSES,109621,98425,0,0,109621,98425
2015-16,ODISHA,ANGUL,INSTITUTIONAL,TOTAL,MARGINAL,0,0,0,0,0,0
2015-16,ODISHA,ANGUL,INSTITUTIONAL,TOTAL,SMALL,0,0,0,0,0,0
2015-16,ODISHA,ANGUL,INSTITUTIONAL,TOTAL,SEMIMEDIUM,0,0,0,0,0,0
2015-16,ODISHA,ANGUL,INSTITUTIONAL,TOTAL,MEDIUM,0,0,0,0,1,10
2015-16,ODISHA,ANGUL,INSTITUTIONAL,TOTAL,LARGE,0,0,0,0,28,963
2015-16,ODISHA,ANGUL,INSTITUTIONAL,TOTAL,ALL CLASSES,0,0,0,0,29,973
2015-16,ODISHA,BALANGIR,SCHEDULED CASTE,TOTAL,MARGINAL,28301,15853,0,0,28301,15853
2015-16,ODISHA,BALANGIR,SCHEDULED CASTE,TOTAL,SMALL,5187,8452,0,0,5187,8452
2015-16,ODISHA,BALANGIR,SCHEDULED CASTE,TOTAL,SEMIMEDIUM,1422,3799,0,0,1422,3799
2015-16,ODISHA,BALANGIR,SCHEDULED CASTE,TOTAL,MEDIUM,173,953,0,0,173,953
2015-16,ODISHA,BALANGIR,SCHEDULED CASTE,TOTAL,LARGE,5,56,0,0,5,56
2015-16,ODISHA,BALANGIR,SCHEDULED CASTE,TOTAL,ALL CLASSES,35088,29114,0,0,35088,29114
2015-16,ODISHA,BALANGIR,SCHEDULED TRIBES,TOTAL,MARGINAL,38476,24470,0,0,38476,24470
2015-16,ODISHA,BALANGIR,SCHEDULED TRIBES,TOTAL,SMALL,14290,23865,0,0,14290,23865
2015-16,ODISHA,BALANGIR,SCHEDULED TRIBES,TOTAL,SEMIMEDIUM,5635,15756,0,0,5635,15756
2015-16,ODISHA,BALANGIR,SCHEDULED TRIBES,TOTAL,MEDIUM,1026,5615,0,0,1026,5615
2015-16,ODISHA,BALANGIR,SCHEDULED TRIBES,TOTAL,LARGE,53,957,0,0,53,957
2015-16,ODISHA,BALANGIR,SCHEDULED TRIBES,TOTAL,ALL CLASSES,59480,70662,0,0,59480,70662
2015-16,ODISHA,BALANGIR,OTHERS,TOTAL,MARGINAL,91578,56337,0,0,91578,56337
2015-16,ODISHA,BALANGIR,OTHERS,TOTAL,SMALL,29090,48099,0,0,29090,48099
2015-16,ODISHA,BALANGIR,OTHERS,TOTAL,SEMIMEDIUM,10388,28979,0,0,10388,28979
