year,state,district,social_group,gender,size_category,ind_holdings_number,ind_holdings_area_ha,jnt_holdings_number,jnt_holdings_area_ha,tot_holdings_number,tot_holdings_area_ha
2015-16,PUNJAB,AMRITSAR,SCHEDULED CASTE,TOTAL,MARGINAL,1156,620,0,0,1156,620
2015-16,PUNJAB,AMRITSAR,SCHEDULED CASTE,TOTAL,SMALL,675,907,0,0,675,907
2015-16,PUNJAB,AMRITSAR,SCHEDULED CASTE,TOTAL,SEMIMEDIUM,916,2353,0,0,916,2353
2015-16,PUNJAB,AMRITSAR,SCHEDULED CASTE,TOTAL,MEDIUM,492,2828,0,0,492,2828
2015-16,PUNJAB,AMRITSAR,SCHEDULED CASTE,TOTAL,LARGE,25,281,0,0,25,281
2015-16,PUNJAB,AMRITSAR,SCHEDULED CASTE,TOTAL,ALL CLASSES,3264,6990,0,0,3264,6990
2015-16,PUNJAB,AMRITSAR,SCHEDULED TRIBES,TOTAL,MARGINAL,0,0,0,0,0,0
2015-16,PUNJAB,AMRITSAR,SCHEDULED TRIBES,TOTAL,SMALL,0,0,0,0,0,0
2015-16,PUNJAB,AMRITSAR,SCHEDULED TRIBES,TOTAL,SEMIMEDIUM,0,0,0,0,0,0
2015-16,PUNJAB,AMRITSAR,SCHEDULED TRIBES,TOTAL,MEDIUM,0,0,0,0,0,0
2015-16,PUNJAB,AMRITSAR,SCHEDULED TRIBES,TOTAL,LARGE,0,0,0,0,0,0
2015-16,PUNJAB,AMRITSAR,SCHEDULED TRIBES,TOTAL,ALL CLASSES,0,0,0,0,0,0
2015-16,PUNJAB,AMRITSAR,OTHERS,TOTAL,MARGINAL,6388,4204,0,0,6388,4204
2015-16,PUNJAB,AMRITSAR,OTHERS,TOTAL,SMALL,15259,21346,5,5,15264,21351
2015-16,PUNJAB,AMRITSAR,OTHERS,TOTAL,SEMIMEDIUM,24679,64555,10,26,24689,64581
2015-16,PUNJAB,AMRITSAR,OTHERS,TOTAL,MEDIUM,14673,82007,29,131,14702,82138
2015-16,PUNJAB,AMRITSAR,OTHERS,TOTAL,LARGE,2035,27801,10,193,2045,27994
2015-16,PUNJAB,AMRITSAR,OTHERS,TOTAL,ALL CLASSES,63034,199912,54,356,63088,200268
2015-16,PUNJAB,AMRITSAR,INSTITUTIONAL,TOTAL,MARGINAL,0,0,0,0,0,0
2015-16,PUNJAB,AMRITSAR,INSTITUTIONAL,TOTAL,SMALL,0,0,0,0,0,0
2015-16,PUNJAB,AMRITSAR,INSTITUTIONAL,TOTAL,SEMIMEDIUM,0,0,0,0,0,0
2015-16,PUNJAB,AMRITSAR,INSTITUTIONAL,TOTAL,MEDIUM,0,0,0,0,0,0
2015-16,PUNJAB,AMRITSAR,INSTITUTIONAL,TOTAL,LARGE,0,0,0,0,0,0
2015-16,PUNJAB,AMRITSAR,INSTITUTIONAL,TOTAL,ALL CLASSES,0,0,0,0,0,0
2015-16,PUNJAB,BARNALA,SCHEDULED CASTE,TOTAL,MARGINAL,905,336,0,0,905,336
