year,state,district,social_group,gender,size_category,ind_holdings_number,ind_holdings_area_ha,jnt_holdings_number,jnt_holdings_area_ha,tot_holdings_number,tot_holdings_area_ha
2015-16,RAJASTHAN,AJMER,SCHEDULED CASTE,TOTAL,MARGINAL,14420,7003,8856,4168,23276,11172
2015-16,RAJASTHAN,AJMER,SCHEDULED CASTE,TOTAL,SMALL,6470,9240,4331,6247,10801,15487
2015-16,RAJASTHAN,AJMER,SCHEDULED CASTE,TOTAL,SEMIMEDIUM,3190,8545,3041,8422,6231,16967
2015-16,RAJASTHAN,AJMER,SCHEDULED CASTE,TOTAL,MEDIUM,820,4479,1416,8174,2236,12653
2015-16,RAJASTHAN,AJMER,SCHEDULED CASTE,TOTAL,LARGE,28,340,182,2550,210,2890
2015-16,RAJASTHAN,AJMER,SCHEDULED CASTE,TOTAL,ALL CLASSES,24928,29608,17826,29561,42754,59169
2015-16,RAJASTHAN,AJMER,SCHEDULED TRIBES,TOTAL,MARGINAL,3030,1481,2125,1024,5155,2505
2015-16,RAJASTHAN,AJMER,SCHEDULED TRIBES,TOTAL,SMALL,1256,1787,1128,1611,2384,3397
2015-16,RAJASTHAN,AJMER,SCHEDULED TRIBES,TOTAL,SEMIMEDIUM,592,1602,841,2325,1433,3928
2015-16,RAJASTHAN,AJMER,SCHEDULED TRIBES,TOTAL,MEDIUM,146,802,406,2374,552,3175
2015-16,RAJASTHAN,AJMER,SCHEDULED TRIBES,TOTAL,LARGE,11,144,62,868,73,1012
2015-16,RAJASTHAN,AJMER,SCHEDULED TRIBES,TOTAL,ALL CLASSES,5035,5817,4562,8201,9597,14018
2015-16,RAJASTHAN,AJMER,OTHERS,TOTAL,MARGINAL,65615,28262,63559,25655,129174,53918
2015-16,RAJASTHAN,AJMER,OTHERS,TOTAL,SMALL,24745,35265,23105,33108,47850,68373
2015-16,RAJASTHAN,AJMER,OTHERS,TOTAL,SEMIMEDIUM,15940,44011,18551,52055,34491,96065
2015-16,RAJASTHAN,AJMER,OTHERS,TOTAL,MEDIUM,7385,42826,12188,73304,19573,116130
2015-16,RAJASTHAN,AJMER,OTHERS,TOTAL,LARGE,1069,14918,3175,51723,4244,66640
2015-16,RAJASTHAN,AJMER,OTHERS,TOTAL,ALL CLASSES,114754,165282,120578,235844,235332,401127
2015-16,RAJASTHAN,AJMER,INSTITUTIONAL,TOTAL,MARGINAL,0,0,0,0,457,221
2015-16,RAJASTHAN,AJMER,INSTITUTIONAL,TOTAL,SMALL,0,0,0,0,274,404
2015-16,RAJASTHAN,AJMER,INSTITUTIONAL,TOTAL,SEMIMEDIUM,0,0,0,0,225,634
2015-16,RAJASTHAN,AJMER,INSTITUTIONAL,TOTAL,MEDIUM,0,0,0,0,215,1321
2015-16,RAJASTHAN,AJMER,INSTITUTIONAL,TOTAL,LARGE,0,0,0,0,140,2898
2015-16,RAJASTHAN,AJMER,INSTITUTIONAL,TOTAL,ALL CLASSES,0,0,0,0,1311,5479
2015-16,RAJASTHAN,ALWAR,SCHEDULED CASTE,TOTAL,MARGINAL,37193,17756,2309,1199,39502,18955
2015-16,RAJASTHAN,ALWAR,SCHEDULED CASTE,TOTAL,SMALL,11128,14737,1270,1769,12398,16506
2015-16,RAJASTHAN,ALWAR,SCHEDULED CASTE,TOTAL,SEMIMEDIUM,2978,7747,724,2008,3702,9755
2015-16,RAJASTHAN,ALWAR,SCHEDULED CASTE,TOTAL,MEDIUM,392,2042,216,1187,608,3230
2015-16,RAJASTHAN,ALWAR,SCHEDULED CASTE,TOTAL,LARGE,14,208,16,282,30,490
2015-16,RAJASTHAN,ALWAR,SCHEDULED CASTE,TOTAL,ALL CLASSES,51705,42491,4535,6445,56240,48936
2015-16,RAJASTHAN,ALWAR,SCHEDULED TRIBES,TOTAL,MARGINAL,30151,14265,2565,1252,32716,15517
2015-16,RAJASTHAN,ALWAR,SCHEDULED TRIBES,TOTAL,SMALL,10478,14335,1420,2010,11898,16345
2015-16,RAJASTHAN,ALWAR,SCHEDULED TRIBES,TOTAL,SEMIMEDIUM,4392,11719,990,2785,5382,14504
2015-16,RAJASTHAN,ALWAR,SCHEDULED TRIBES,TOTAL,MEDIUM,863,4523,460,2589,1323,7111
2015-16,RAJASTHAN,ALWAR,SCHEDULED TRIBES,TOTAL,LARGE,12,155,43,550,55,706
2015-16,RAJASTHAN,ALWAR,SCHEDULED TRIBES,TOTAL,ALL CLASSES,45896,44996,5478,9186,51374,54182
2015-16,RAJASTHAN,ALWAR,OTHERS,TOTAL,MARGINAL,185300,91507,11052,5454,196352,96961
2015-16,RAJASTHAN,ALWAR,OTHERS,TOTAL,SMALL,70072,98596,6180,8803,76252,107399
2015-16,RAJASTHAN,ALWAR,OTHERS,TOTAL,SEMIMEDIUM,37276,101596,5158,14431,42434,116026
2015-16,RAJASTHAN,ALWAR,OTHERS,TOTAL,MEDIUM,10420,56427,2860,16717,13280,73144
2015-16,RAJASTHAN,ALWAR,OTHERS,TOTAL,LARGE,501,6376,378,5314,879,11690
2015-16,RAJASTHAN,ALWAR,OTHERS,TOTAL,ALL CLASSES,303569,354502,25628,50718,329197,405220
2015-16,RAJASTHAN,ALWAR,INSTITUTIONAL,TOTAL,MARGINAL,0,0,0,0,138,61
2015-16,RAJASTHAN,ALWAR,INSTITUTIONAL,TOTAL,SMALL,0,0,0,0,76,117
2015-16,RAJASTHAN,ALWAR,INSTITUTIONAL,TOTAL,SEMIMEDIUM,0,0,0,0,99,289
2015-16,RAJASTHAN,ALWAR,INSTITUTIONAL,TOTAL,MEDIUM,0,0,0,0,67,398
2015-16,RAJASTHAN,ALWAR,INSTITUTIONAL,TOTAL,LARGE,0,0,0,0,28,635
2015-16,RAJASTHAN,ALWAR,INSTITUTIONAL,TOTAL,ALL CLASSES,0,0,0,0,408,1501
2015-16,RAJASTHAN,BANSWARA,SCHEDULED CASTE,TOTAL,MARGINAL,7945,2447,1479,610,9424,3056
2015-16,RAJASTHAN,BANSWARA,SCHEDULED CASTE,TOTAL,SMALL,593,804,349,498,942,1302
2015-16,RAJASTHAN,BANSWARA,SCHEDULED CASTE,TOTAL,SEMIMEDIUM,160,409,116,310,276,719
2015-16,RAJASTHAN,BANSWARA,SCHEDULED CASTE,TOTAL,MEDIUM,19,92,21,117,40,209
2015-16,RAJASTHAN,BANSWARA,SCHEDULED CASTE,TOTAL,LARGE,0,0,2,25,2,25
