year,state,district,social_group,gender,size_category,ind_holdings_number,ind_holdings_area_ha,jnt_holdings_number,jnt_holdings_area_ha,tot_holdings_number,tot_holdings_area_ha
2015-16,ARUNACHAL PRADESH,ANJAW,SCHEDULED CASTE,TOTAL,MARGINAL,0,0,0,0,0,0
2015-16,ARUNACHAL PRADESH,ANJAW,SCHEDULED CASTE,TOTAL,SMALL,0,0,0,0,0,0
2015-16,ARUNACHAL PRADESH,ANJAW,SCHEDULED CASTE,TOTAL,SEMIMEDIUM,0,0,0,0,0,0
2015-16,ARUNACHAL PRADESH,ANJAW,SCHEDULED CASTE,TOTAL,MEDIUM,0,0,0,0,0,0
2015-16,ARUNACHAL PRADESH,ANJAW,SCHEDULED CASTE,TOTAL,LARGE,0,0,0,0,0,0
2015-16,ARUNACHAL PRADESH,ANJAW,SCHEDULED CASTE,TOTAL,ALL CLASSES,0,0,0,0,0,0
2015-16,ARUNACHAL PRADESH,ANJAW,SCHEDULED TRIBES,TOTAL,MARGINAL,470,361,0,0,470,361
2015-16,ARUNACHAL PRADESH,ANJAW,SCHEDULED TRIBES,TOTAL,SMALL,1086,1667,0,0,1086,1667
2015-16,ARUNACHAL PRADESH,ANJAW,SCHEDULED TRIBES,TOTAL,SEMIMEDIUM,676,1730,0,0,676,1730
2015-16,ARUNACHAL PRADESH,ANJAW,SCHEDULED TRIBES,TOTAL,MEDIUM,654,3891,0,0,654,3891
2015-16,ARUNACHAL PRADESH,ANJAW,SCHEDULED TRIBES,TOTAL,LARGE,50,1048,0,0,50,1048
2015-16,ARUNACHAL PRADESH,ANJAW,SCHEDULED TRIBES,TOTAL,ALL CLASSES,2936,8698,0,0,2936,8698
2015-16,ARUNACHAL PRADESH,ANJAW,OTHERS,TOTAL,MARGINAL,0,0,0,0,0,0
2015-16,ARUNACHAL PRADESH,ANJAW,OTHERS,TOTAL,SMALL,0,0,0,0,0,0
