year,state,district,social_group,gender,size_category,ind_holdings_number,ind_holdings_area_ha,jnt_holdings_number,jnt_holdings_area_ha,tot_holdings_number,tot_holdings_area_ha
2015-16,SIKKIM,EAST,SCHEDULED CASTE,TOTAL,MARGINAL,1330,362,0,0,1330,362
2015-16,SIKKIM,EAST,SCHEDULED CASTE,TOTAL,SMALL,116,156,0,0,116,156
2015-16,SIKKIM,EAST,SCHEDULED CASTE,TOTAL,SEMIMEDIUM,79,212,0,0,79,212
2015-16,SIKKIM,EAST,SCHEDULED CASTE,TOTAL,MEDIUM,14,81,0,0,14,81
2015-16,SIKKIM,EAST,SCHEDULED CASTE,TOTAL,LARGE,3,31,0,0,3,31
2015-16,SIKKIM,EAST,SCHEDULED CASTE,TOTAL,ALL CLASSES,1542,841,0,0,1542,841
2015-16,SIKKIM,EAST,SCHEDULED TRIBES,TOTAL,MARGINAL,5218,1693,0,0,5218,1693
2015-16,SIKKIM,EAST,SCHEDULED TRIBES,TOTAL,SMALL,1416,1960,0,0,1416,1960
2015-16,SIKKIM,EAST,SCHEDULED TRIBES,TOTAL,SEMIMEDIUM,1415,3794,0,0,1415,3794
2015-16,SIKKIM,EAST,SCHEDULED TRIBES,TOTAL,MEDIUM,492,2712,0,0,492,2712
2015-16,SIKKIM,EAST,SCHEDULED TRIBES,TOTAL,LARGE,46,741,0,0,46,741
2015-16,SIKKIM,EAST,SCHEDULED TRIBES,TOTAL,ALL CLASSES,8587,10901,0,0,8587,10901
2015-16,SIKKIM,EAST,OTHERS,TOTAL,MARGINAL,8793,3125,0,0,8793,3125
2015-16,SIKKIM,EAST,OTHERS,TOTAL,SMALL,2120,2886,0,0,2120,2886
2015-16,SIKKIM,EAST,OTHERS,TOTAL,SEMIMEDIUM,1673,4444,0,0,1673,4444
2015-16,SIKKIM,EAST,OTHERS,TOTAL,MEDIUM,412,2167,0,0,412,2167
2015-16,SIKKIM,EAST,OTHERS,TOTAL,LARGE,19,231,0,0,19,231
2015-16,SIKKIM,EAST,OTHERS,TOTAL,ALL CLASSES,13017,12854,0,0,13017,12854
2015-16,SIKKIM,EAST,INSTITUTIONAL,TOTAL,MARGINAL,0,0,0,0,251,50
2015-16,SIKKIM,EAST,INSTITUTIONAL,TOTAL,SMALL,0,0,0,0,28,38
2015-16,SIKKIM,EAST,INSTITUTIONAL,TOTAL,SEMIMEDIUM,0,0,0,0,16,42
2015-16,SIKKIM,EAST,INSTITUTIONAL,TOTAL,MEDIUM,0,0,0,0,23,159
2015-16,SIKKIM,EAST,INSTITUTIONAL,TOTAL,LARGE,0,0,0,0,22,490
2015-16,SIKKIM,EAST,INSTITUTIONAL,TOTAL,ALL CLASSES,0,0,0,0,340,779
2015-16,SIKKIM,NORTH,SCHEDULED CASTE,TOTAL,MARGINAL,30,12,0,0,30,12
2015-16,SIKKIM,NORTH,SCHEDULED CASTE,TOTAL,SMALL,4,5,0,0,4,5
2015-16,SIKKIM,NORTH,SCHEDULED CASTE,TOTAL,SEMIMEDIUM,0,0,0,0,0,0
2015-16,SIKKIM,NORTH,SCHEDULED CASTE,TOTAL,MEDIUM,0,0,0,0,0,0
2015-16,SIKKIM,NORTH,SCHEDULED CASTE,TOTAL,LARGE,0,0,0,0,0,0
2015-16,SIKKIM,NORTH,SCHEDULED CASTE,TOTAL,ALL CLASSES,34,17,0,0,34,17
2015-16,SIKKIM,NORTH,SCHEDULED TRIBES,TOTAL,MARGINAL,1627,822,0,0,1627,822
2015-16,SIKKIM,NORTH,SCHEDULED TRIBES,TOTAL,SMALL,919,1327,0,0,919,1327
2015-16,SIKKIM,NORTH,SCHEDULED TRIBES,TOTAL,SEMIMEDIUM,1329,3710,0,0,1329,3710
2015-16,SIKKIM,NORTH,SCHEDULED TRIBES,TOTAL,MEDIUM,762,4425,0,0,762,4425
2015-16,SIKKIM,NORTH,SCHEDULED TRIBES,TOTAL,LARGE,59,871,0,0,59,871
2015-16,SIKKIM,NORTH,SCHEDULED TRIBES,TOTAL,ALL CLASSES,4696,11156,0,0,4696,11156
2015-16,SIKKIM,NORTH,OTHERS,TOTAL,MARGINAL,39,16,0,0,39,16
2015-16,SIKKIM,NORTH,OTHERS,TOTAL,SMALL,2,4,0,0,2,4
2015-16,SIKKIM,NORTH,OTHERS,TOTAL,SEMIMEDIUM,5,14,0,0,5,14
2015-16,SIKKIM,NORTH,OTHERS,TOTAL,MEDIUM,1,7,0,0,1,7
2015-16,SIKKIM,NORTH,OTHERS,TOTAL,LARGE,0,0,0,0,0,0
2015-16,SIKKIM,NORTH,OTHERS,TOTAL,ALL CLASSES,47,41,0,0,47,41
2015-16,SIKKIM,NORTH,INSTITUTIONAL,TOTAL,MARGINAL,0,0,0,0,77,26
2015-16,SIKKIM,NORTH,INSTITUTIONAL,TOTAL,SMALL,0,0,0,0,8,11
2015-16,SIKKIM,NORTH,INSTITUTIONAL,TOTAL,SEMIMEDIUM,0,0,0,0,7,18
2015-16,SIKKIM,NORTH,INSTITUTIONAL,TOTAL,MEDIUM,0,0,0,0,18,120
2015-16,SIKKIM,NORTH,INSTITUTIONAL,TOTAL,LARGE,0,0,0,0,8,563
2015-16,SIKKIM,NORTH,INSTITUTIONAL,TOTAL,ALL CLASSES,0,0,0,0,118,738
2015-16,SIKKIM,SOUTH,SCHEDULED CASTE,TOTAL,MARGINAL,814,324,0,0,814,324
2015-16,SIKKIM,SOUTH,SCHEDULED CASTE,TOTAL,SMALL,139,184,0,0,139,184
2015-16,SIKKIM,SOUTH,SCHEDULED CASTE,TOTAL,SEMIMEDIUM,59,157,0,0,59,157
2015-16,SIKKIM,SOUTH,SCHEDULED CASTE,TOTAL,MEDIUM,9,51,0,0,9,51
2015-16,SIKKIM,SOUTH,SCHEDULED CASTE,TOTAL,LARGE,1,11,0,0,1,11
2015-16,SIKKIM,SOUTH,SCHEDULED CASTE,TOTAL,ALL CLASSES,1022,725,0,0,1022,725
2015-16,SIKKIM,SOUTH,SCHEDULED TRIBES,TOTAL,MARGINAL,3682,1729,0,0,3682,1729
2015-16,SIKKIM,SOUTH,SCHEDULED TRIBES,TOTAL,SMALL,1417,1997,0,0,1417,1997
2015-16,SIKKIM,SOUTH,SCHEDULED TRIBES,TOTAL,SEMIMEDIUM,1255,3618,0,0,1255,3618
2015-16,SIKKIM,SOUTH,SCHEDULED TRIBES,TOTAL,MEDIUM,362,2202,0,0,362,2202
2015-16,SIKKIM,SOUTH,SCHEDULED TRIBES,TOTAL,LARGE,46,706,0,0,46,706
2015-16,SIKKIM,SOUTH,SCHEDULED TRIBES,TOTAL,ALL CLASSES,6762,10252,0,0,6762,10252
2015-16,SIKKIM,SOUTH,OTHERS,TOTAL,MARGINAL,7432,3559,0,0,7432,3559
2015-16,SIKKIM,SOUTH,OTHERS,TOTAL,SMALL,2438,3425,0,0,2438,3425
2015-16,SIKKIM,SOUTH,OTHERS,TOTAL,SEMIMEDIUM,1743,4728,0,0,1743,4728
2015-16,SIKKIM,SOUTH,OTHERS,TOTAL,MEDIUM,435,2401,0,0,435,2401
2015-16,SIKKIM,SOUTH,OTHERS,TOTAL,LARGE,32,407,0,0,32,407
2015-16,SIKKIM,SOUTH,OTHERS,TOTAL,ALL CLASSES,12080,14519,0,0,12080,14519
2015-16,SIKKIM,SOUTH,INSTITUTIONAL,TOTAL,MARGINAL,0,0,0,0,215,66
2015-16,SIKKIM,SOUTH,INSTITUTIONAL,TOTAL,SMALL,0,0,0,0,21,29
2015-16,SIKKIM,SOUTH,INSTITUTIONAL,TOTAL,SEMIMEDIUM,0,0,0,0,6,18
2015-16,SIKKIM,SOUTH,INSTITUTIONAL,TOTAL,MEDIUM,0,0,0,0,5,32
2015-16,SIKKIM,SOUTH,INSTITUTIONAL,TOTAL,LARGE,0,0,0,0,9,364
2015-16,SIKKIM,SOUTH,INSTITUTIONAL,TOTAL,ALL CLASSES,0,0,0,0,256,508
2015-16,SIKKIM,WEST,SCHEDULED CASTE,TOTAL,MARGINAL,990,306,0,0,990,306
2015-16,SIKKIM,WEST,SCHEDULED CASTE,TOTAL,SMALL,88,119,0,0,88,119
2015-16,SIKKIM,WEST,SCHEDULED CASTE,TOTAL,SEMIMEDIUM,74,199,0,0,74,199
2015-16,SIKKIM,WEST,SCHEDULED CASTE,TOTAL,MEDIUM,12,60,0,0,12,60
2015-16,SIKKIM,WEST,SCHEDULED CASTE,TOTAL,LARGE,5,70,0,0,5,70
2015-16,SIKKIM,WEST,SCHEDULED CASTE,TOTAL,ALL CLASSES,1169,755,0,0,1169,755
2015-16,SIKKIM,WEST,SCHEDULED TRIBES,TOTAL,MARGINAL,6623,2883,0,0,6623,2883
2015-16,SIKKIM,WEST,SCHEDULED TRIBES,TOTAL,SMALL,2121,2960,0,0,2121,2960
2015-16,SIKKIM,WEST,SCHEDULED TRIBES,TOTAL,SEMIMEDIUM,1673,4490,0,0,1673,4490
2015-16,SIKKIM,WEST,SCHEDULED TRIBES,TOTAL,MEDIUM,614,3533,0,0,614,3533
2015-16,SIKKIM,WEST,SCHEDULED TRIBES,TOTAL,LARGE,74,1142,0,0,74,1142
2015-16,SIKKIM,WEST,SCHEDULED TRIBES,TOTAL,ALL CLASSES,11105,15007,0,0,11105,15007
2015-16,SIKKIM,WEST,OTHERS,TOTAL,MARGINAL,6940,3050,0,0,6940,3050
2015-16,SIKKIM,WEST,OTHERS,TOTAL,SMALL,1903,2618,0,0,1903,2618
2015-16,SIKKIM,WEST,OTHERS,TOTAL,SEMIMEDIUM,1248,3296,0,0,1248,3296
2015-16,SIKKIM,WEST,OTHERS,TOTAL,MEDIUM,329,1846,0,0,329,1846
2015-16,SIKKIM,WEST,OTHERS,TOTAL,LARGE,21,268,0,0,21,268
2015-16,SIKKIM,WEST,OTHERS,TOTAL,ALL CLASSES,10441,11078,0,0,10441,11078
2015-16,SIKKIM,WEST,INSTITUTIONAL,TOTAL,MARGINAL,0,0,0,0,233,51
2015-16,SIKKIM,WEST,INSTITUTIONAL,TOTAL,SMALL,0,0,0,0,27,35
2015-16,SIKKIM,WEST,INSTITUTIONAL,TOTAL,SEMIMEDIUM,0,0,0,0,9,23
2015-16,SIKKIM,WEST,INSTITUTIONAL,TOTAL,MEDIUM,0,0,0,0,25,164
2015-16,SIKKIM,WEST,INSTITUTIONAL,TOTAL,LARGE,0,0,0,0,22,419
2015-16,SIKKIM,WEST,INSTITUTIONAL,TOTAL,ALL CLASSES,0,0,0,0,316,692
