year,state,district,social_group,gender,size_category,ind_holdings_number,ind_holdings_area_ha,jnt_holdings_number,jnt_holdings_area_ha,tot_holdings_number,tot_holdings_area_ha
2015-16,TAMIL NADU,ARIYALUR,SCHEDULED CASTE,TOTAL,MARGINAL,14253,4256,0,0,14253,4256
2015-16,TAMIL NADU,ARIYALUR,SCHEDULED CASTE,TOTAL,SMALL,1051,1409,0,0,1051,1409
2015-16,TAMIL NADU,ARIYALUR,SCHEDULED CASTE,TOTAL,SEMIMEDIUM,276,700,0,0,276,700
2015-16,TAMIL NADU,ARIYALUR,SCHEDULED CASTE,TOTAL,MEDIUM,13,63,0,0,13,63
2015-16,TAMIL NADU,ARIYALUR,SCHEDULED CASTE,TOTAL,LARGE,1,12,0,0,1,12
2015-16,TAMIL NADU,ARIYALUR,SCHEDULED CASTE,TOTAL,ALL CLASSES,15594,6440,0,0,15594,6440
2015-16,TAMIL NADU,ARIYALUR,SCHEDULED TRIBES,TOTAL,MARGINAL,520,130,0,0,520,130
2015-16,TAMIL NADU,ARIYALUR,SCHEDULED TRIBES,TOTAL,SMALL,21,29,0,0,21,29
2015-16,TAMIL NADU,ARIYALUR,SCHEDULED TRIBES,TOTAL,SEMIMEDIUM,3,9,0,0,3,9
2015-16,TAMIL NADU,ARIYALUR,SCHEDULED TRIBES,TOTAL,MEDIUM,1,4,0,0,1,4
2015-16,TAMIL NADU,ARIYALUR,SCHEDULED TRIBES,TOTAL,LARGE,0,0,0,0,0,0
2015-16,TAMIL NADU,ARIYALUR,SCHEDULED TRIBES,TOTAL,ALL CLASSES,545,172,0,0,545,172
2015-16,TAMIL NADU,ARIYALUR,OTHERS,TOTAL,MARGINAL,147000,50309,0,0,147000,50309
2015-16,TAMIL NADU,ARIYALUR,OTHERS,TOTAL,SMALL,20043,27454,0,0,20043,27454
2015-16,TAMIL NADU,ARIYALUR,OTHERS,TOTAL,SEMIMEDIUM,8059,21320,0,0,8059,21320
2015-16,TAMIL NADU,ARIYALUR,OTHERS,TOTAL,MEDIUM,1709,9325,0,0,1709,9325
2015-16,TAMIL NADU,ARIYALUR,OTHERS,TOTAL,LARGE,95,1385,0,0,95,1385
2015-16,TAMIL NADU,ARIYALUR,OTHERS,TOTAL,ALL CLASSES,176906,109794,0,0,176906,109794
2015-16,TAMIL NADU,ARIYALUR,INSTITUTIONAL,TOTAL,MARGINAL,0,0,0,0,3,2
2015-16,TAMIL NADU,ARIYALUR,INSTITUTIONAL,TOTAL,SMALL,0,0,0,0,0,0
2015-16,TAMIL NADU,ARIYALUR,INSTITUTIONAL,TOTAL,SEMIMEDIUM,0,0,0,0,5,16
2015-16,TAMIL NADU,ARIYALUR,INSTITUTIONAL,TOTAL,MEDIUM,0,0,0,0,5,32
2015-16,TAMIL NADU,ARIYALUR,INSTITUTIONAL,TOTAL,LARGE,0,0,0,0,8,263
2015-16,TAMIL NADU,ARIYALUR,INSTITUTIONAL,TOTAL,ALL CLASSES,0,0,0,0,21,314
2015-16,TAMIL NADU,COIMBATORE,SCHEDULED CASTE,TOTAL,MARGINAL,1240,527,0,0,1240,527
2015-16,TAMIL NADU,COIMBATORE,SCHEDULED CASTE,TOTAL,SMALL,226,303,0,0,226,303
2015-16,TAMIL NADU,COIMBATORE,SCHEDULED CASTE,TOTAL,SEMIMEDIUM,90,231,0,0,90,231
2015-16,TAMIL NADU,COIMBATORE,SCHEDULED CASTE,TOTAL,MEDIUM,19,102,0,0,19,102
2015-16,TAMIL NADU,COIMBATORE,SCHEDULED CASTE,TOTAL,LARGE,0,0,0,0,0,0
2015-16,TAMIL NADU,COIMBATORE,SCHEDULED CASTE,TOTAL,ALL CLASSES,1575,1164,0,0,1575,1164
2015-16,TAMIL NADU,COIMBATORE,SCHEDULED TRIBES,TOTAL,MARGINAL,238,123,0,0,238,123
2015-16,TAMIL NADU,COIMBATORE,SCHEDULED TRIBES,TOTAL,SMALL,109,151,0,0,109,151
2015-16,TAMIL NADU,COIMBATORE,SCHEDULED TRIBES,TOTAL,SEMIMEDIUM,60,161,0,0,60,161
2015-16,TAMIL NADU,COIMBATORE,SCHEDULED TRIBES,TOTAL,MEDIUM,20,104,0,0,20,104
2015-16,TAMIL NADU,COIMBATORE,SCHEDULED TRIBES,TOTAL,LARGE,0,0,0,0,0,0
2015-16,TAMIL NADU,COIMBATORE,SCHEDULED TRIBES,TOTAL,ALL CLASSES,427,538,0,0,427,538
2015-16,TAMIL NADU,COIMBATORE,OTHERS,TOTAL,MARGINAL,59503,29948,0,0,59503,29948
2015-16,TAMIL NADU,COIMBATORE,OTHERS,TOTAL,SMALL,34830,49774,0,0,34830,49774
2015-16,TAMIL NADU,COIMBATORE,OTHERS,TOTAL,SEMIMEDIUM,21418,59054,0,0,21418,59054
2015-16,TAMIL NADU,COIMBATORE,OTHERS,TOTAL,MEDIUM,8668,49420,0,0,8668,49420
2015-16,TAMIL NADU,COIMBATORE,OTHERS,TOTAL,LARGE,955,15009,0,0,955,15009
2015-16,TAMIL NADU,COIMBATORE,OTHERS,TOTAL,ALL CLASSES,125374,203207,0,0,125374,203207
2015-16,TAMIL NADU,COIMBATORE,INSTITUTIONAL,TOTAL,MARGINAL,0,0,0,0,1186,321
2015-16,TAMIL NADU,COIMBATORE,INSTITUTIONAL,TOTAL,SMALL,0,0,0,0,370,544
2015-16,TAMIL NADU,COIMBATORE,INSTITUTIONAL,TOTAL,SEMIMEDIUM,0,0,0,0,368,1052
2015-16,TAMIL NADU,COIMBATORE,INSTITUTIONAL,TOTAL,MEDIUM,0,0,0,0,322,2026
2015-16,TAMIL NADU,COIMBATORE,INSTITUTIONAL,TOTAL,LARGE,0,0,0,0,237,20076
2015-16,TAMIL NADU,COIMBATORE,INSTITUTIONAL,TOTAL,ALL CLASSES,0,0,0,0,2483,24020
2015-16,TAMIL NADU,CUDDALORE,SCHEDULED CASTE,TOTAL,MARGINAL,43572,13786,25,11,43597,13797
2015-16,TAMIL NADU,CUDDALORE,SCHEDULED CASTE,TOTAL,SMALL,4413,5970,0,0,4413,5970
2015-16,TAMIL NADU,CUDDALORE,SCHEDULED CASTE,TOTAL,SEMIMEDIUM,1162,3039,1,2,1163,3041
2015-16,TAMIL NADU,CUDDALORE,SCHEDULED CASTE,TOTAL,MEDIUM,143,741,0,0,143,741
2015-16,TAMIL NADU,CUDDALORE,SCHEDULED CASTE,TOTAL,LARGE,10,121,0,0,10,121
2015-16,TAMIL NADU,CUDDALORE,SCHEDULED CASTE,TOTAL,ALL CLASSES,49300,23658,26,13,49326,23671
2015-16,TAMIL NADU,CUDDALORE,SCHEDULED TRIBES,TOTAL,MARGINAL,107,37,0,0,107,37
2015-16,TAMIL NADU,CUDDALORE,SCHEDULED TRIBES,TOTAL,SMALL,8,10,0,0,8,10
2015-16,TAMIL NADU,CUDDALORE,SCHEDULED TRIBES,TOTAL,SEMIMEDIUM,4,12,0,0,4,12
2015-16,TAMIL NADU,CUDDALORE,SCHEDULED TRIBES,TOTAL,MEDIUM,0,0,0,0,0,0
2015-16,TAMIL NADU,CUDDALORE,SCHEDULED TRIBES,TOTAL,LARGE,0,0,0,0,0,0
2015-16,TAMIL NADU,CUDDALORE,SCHEDULED TRIBES,TOTAL,ALL CLASSES,119,60,0,0,119,60
2015-16,TAMIL NADU,CUDDALORE,OTHERS,TOTAL,MARGINAL,225911,79074,118,38,226029,79113
2015-16,TAMIL NADU,CUDDALORE,OTHERS,TOTAL,SMALL,36127,50257,10,13,36137,50270
2015-16,TAMIL NADU,CUDDALORE,OTHERS,TOTAL,SEMIMEDIUM,13745,36680,3,7,13748,36687
2015-16,TAMIL NADU,CUDDALORE,OTHERS,TOTAL,MEDIUM,3352,18507,0,0,3352,18507
2015-16,TAMIL NADU,CUDDALORE,OTHERS,TOTAL,LARGE,206,3351,0,0,206,3351
2015-16,TAMIL NADU,CUDDALORE,OTHERS,TOTAL,ALL CLASSES,279341,187869,131,58,279472,187927
2015-16,TAMIL NADU,CUDDALORE,INSTITUTIONAL,TOTAL,MARGINAL,0,0,0,0,78,34
2015-16,TAMIL NADU,CUDDALORE,INSTITUTIONAL,TOTAL,SMALL,0,0,0,0,22,33
2015-16,TAMIL NADU,CUDDALORE,INSTITUTIONAL,TOTAL,SEMIMEDIUM,0,0,0,0,16,44
2015-16,TAMIL NADU,CUDDALORE,INSTITUTIONAL,TOTAL,MEDIUM,0,0,0,0,15,89
2015-16,TAMIL NADU,CUDDALORE,INSTITUTIONAL,TOTAL,LARGE,0,0,0,0,12,303
2015-16,TAMIL NADU,CUDDALORE,INSTITUTIONAL,TOTAL,ALL CLASSES,0,0,0,0,143,502
2015-16,TAMIL NADU,DHARMAPURI,SCHEDULED CASTE,TOTAL,MARGINAL,16353,6306,0,0,16353,6306
2015-16,TAMIL NADU,DHARMAPURI,SCHEDULED CASTE,TOTAL,SMALL,3044,4097,0,0,3044,4097
2015-16,TAMIL NADU,DHARMAPURI,SCHEDULED CASTE,TOTAL,SEMIMEDIUM,676,1729,0,0,676,1729
2015-16,TAMIL NADU,DHARMAPURI,SCHEDULED CASTE,TOTAL,MEDIUM,90,467,0,0,90,467
2015-16,TAMIL NADU,DHARMAPURI,SCHEDULED CASTE,TOTAL,LARGE,0,0,0,0,0,0
2015-16,TAMIL NADU,DHARMAPURI,SCHEDULED CASTE,TOTAL,ALL CLASSES,20163,12600,0,0,20163,12600
2015-16,TAMIL NADU,DHARMAPURI,SCHEDULED TRIBES,TOTAL,MARGINAL,6312,2591,0,0,6312,2591
2015-16,TAMIL NADU,DHARMAPURI,SCHEDULED TRIBES,TOTAL,SMALL,1584,2151,0,0,1584,2151
2015-16,TAMIL NADU,DHARMAPURI,SCHEDULED TRIBES,TOTAL,SEMIMEDIUM,363,911,0,0,363,911
2015-16,TAMIL NADU,DHARMAPURI,SCHEDULED TRIBES,TOTAL,MEDIUM,38,208,1,5,39,213
2015-16,TAMIL NADU,DHARMAPURI,SCHEDULED TRIBES,TOTAL,LARGE,0,0,0,0,0,0
2015-16,TAMIL NADU,DHARMAPURI,SCHEDULED TRIBES,TOTAL,ALL CLASSES,8297,5860,1,5,8298,5865
2015-16,TAMIL NADU,DHARMAPURI,OTHERS,TOTAL,MARGINAL,237556,84854,81,49,237637,84903
2015-16,TAMIL NADU,DHARMAPURI,OTHERS,TOTAL,SMALL,40482,54666,51,66,40533,54733
2015-16,TAMIL NADU,DHARMAPURI,OTHERS,TOTAL,SEMIMEDIUM,12530,33008,11,25,12541,33032
2015-16,TAMIL NADU,DHARMAPURI,OTHERS,TOTAL,MEDIUM,2126,11446,26,144,2152,11590
2015-16,TAMIL NADU,DHARMAPURI,OTHERS,TOTAL,LARGE,101,1543,4,43,105,1586
2015-16,TAMIL NADU,DHARMAPURI,OTHERS,TOTAL,ALL CLASSES,292795,185517,173,327,292968,185845
2015-16,TAMIL NADU,DHARMAPURI,INSTITUTIONAL,TOTAL,MARGINAL,0,0,0,0,114,53
2015-16,TAMIL NADU,DHARMAPURI,INSTITUTIONAL,TOTAL,SMALL,0,0,0,0,76,117
2015-16,TAMIL NADU,DHARMAPURI,INSTITUTIONAL,TOTAL,SEMIMEDIUM,0,0,0,0,57,165
2015-16,TAMIL NADU,DHARMAPURI,INSTITUTIONAL,TOTAL,MEDIUM,0,0,0,0,18,106
2015-16,TAMIL NADU,DHARMAPURI,INSTITUTIONAL,TOTAL,LARGE,0,0,0,0,12,279
2015-16,TAMIL NADU,DHARMAPURI,INSTITUTIONAL,TOTAL,ALL CLASSES,0,0,0,0,277,721
2015-16,TAMIL NADU,DINDIGUL,SCHEDULED CASTE,TOTAL,MARGINAL,17913,6687,0,0,17913,6687
2015-16,TAMIL NADU,DINDIGUL,SCHEDULED CASTE,TOTAL,SMALL,3024,4187,0,0,3024,4187
2015-16,TAMIL NADU,DINDIGUL,SCHEDULED CASTE,TOTAL,SEMIMEDIUM,752,1970,0,0,752,1970
2015-16,TAMIL NADU,DINDIGUL,SCHEDULED CASTE,TOTAL,MEDIUM,131,709,0,0,131,709
2015-16,TAMIL NADU,DINDIGUL,SCHEDULED CASTE,TOTAL,LARGE,4,46,0,0,4,46
2015-16,TAMIL NADU,DINDIGUL,SCHEDULED CASTE,TOTAL,ALL CLASSES,21824,13598,0,0,21824,13598
2015-16,TAMIL NADU,DINDIGUL,SCHEDULED TRIBES,TOTAL,MARGINAL,47,7,0,0,47,7
2015-16,TAMIL NADU,DINDIGUL,SCHEDULED TRIBES,TOTAL,SMALL,2,3,0,0,2,3
2015-16,TAMIL NADU,DINDIGUL,SCHEDULED TRIBES,TOTAL,SEMIMEDIUM,3,10,0,0,3,10
2015-16,TAMIL NADU,DINDIGUL,SCHEDULED TRIBES,TOTAL,MEDIUM,0,0,0,0,0,0
2015-16,TAMIL NADU,DINDIGUL,SCHEDULED TRIBES,TOTAL,LARGE,0,0,0,0,0,0
2015-16,TAMIL NADU,DINDIGUL,SCHEDULED TRIBES,TOTAL,ALL CLASSES,52,19,0,0,52,19
2015-16,TAMIL NADU,DINDIGUL,OTHERS,TOTAL,MARGINAL,187010,75860,0,0,187010,75860
2015-16,TAMIL NADU,DINDIGUL,OTHERS,TOTAL,SMALL,52826,73664,0,0,52826,73664
2015-16,TAMIL NADU,DINDIGUL,OTHERS,TOTAL,SEMIMEDIUM,24941,68012,0,0,24941,68012
2015-16,TAMIL NADU,DINDIGUL,OTHERS,TOTAL,MEDIUM,8774,49938,0,0,8774,49938
2015-16,TAMIL NADU,DINDIGUL,OTHERS,TOTAL,LARGE,895,13642,0,0,895,13642
2015-16,TAMIL NADU,DINDIGUL,OTHERS,TOTAL,ALL CLASSES,274446,281116,0,0,274446,281116
2015-16,TAMIL NADU,DINDIGUL,INSTITUTIONAL,TOTAL,MARGINAL,0,0,0,0,736,325
2015-16,TAMIL NADU,DINDIGUL,INSTITUTIONAL,TOTAL,SMALL,0,0,0,0,345,496
