year,state,district,social_group,gender,size_category,ind_holdings_number,ind_holdings_area_ha,jnt_holdings_number,jnt_holdings_area_ha,tot_holdings_number,tot_holdings_area_ha
2015-16,TELENGANA,ADILABAD,SCHEDULED CASTE,TOTAL,MARGINAL,50466,23554,7,3,50473,23556
2015-16,TELENGANA,ADILABAD,SCHEDULED CASTE,TOTAL,SMALL,19477,27170,1,2,19478,27172
2015-16,TELENGANA,ADILABAD,SCHEDULED CASTE,TOTAL,SEMIMEDIUM,8750,22094,1,2,8751,22097
2015-16,TELENGANA,ADILABAD,SCHEDULED CASTE,TOTAL,MEDIUM,1601,8616,0,0,1601,8616
2015-16,TELENGANA,ADILABAD,SCHEDULED CASTE,TOTAL,LARGE,78,1029,0,0,78,1029
2015-16,TELENGANA,ADILABAD,SCHEDULED CASTE,TOTAL,ALL CLASSES,80372,82462,9,7,80381,82469
2015-16,TELENGANA,ADILABAD,SCHEDULED TRIBES,TOTAL,MARGINAL,45253,25553,3,2,45256,25555
2015-16,TELENGANA,ADILABAD,SCHEDULED TRIBES,TOTAL,SMALL,40045,57163,2,2,40047,57165
2015-16,TELENGANA,ADILABAD,SCHEDULED TRIBES,TOTAL,SEMIMEDIUM,27965,71320,3,7,27968,71327
2015-16,TELENGANA,ADILABAD,SCHEDULED TRIBES,TOTAL,MEDIUM,5859,30552,0,0,5859,30552
2015-16,TELENGANA,ADILABAD,SCHEDULED TRIBES,TOTAL,LARGE,204,2742,0,0,204,2742
2015-16,TELENGANA,ADILABAD,SCHEDULED TRIBES,TOTAL,ALL CLASSES,119326,187332,8,11,119334,187342
2015-16,TELENGANA,ADILABAD,OTHERS,TOTAL,MARGINAL,216004,100322,34,12,216038,100334
2015-16,TELENGANA,ADILABAD,OTHERS,TOTAL,SMALL,107601,153158,6,9,107607,153166
2015-16,TELENGANA,ADILABAD,OTHERS,TOTAL,SEMIMEDIUM,55341,142824,14,35,55355,142860
2015-16,TELENGANA,ADILABAD,OTHERS,TOTAL,MEDIUM,11809,64256,5,27,11814,64283
2015-16,TELENGANA,ADILABAD,OTHERS,TOTAL,LARGE,733,10050,2,24,735,10074
2015-16,TELENGANA,ADILABAD,OTHERS,TOTAL,ALL CLASSES,391488,470610,61,107,391549,470716
2015-16,TELENGANA,ADILABAD,INSTITUTIONAL,TOTAL,MARGINAL,0,0,0,0,7,3
2015-16,TELENGANA,ADILABAD,INSTITUTIONAL,TOTAL,SMALL,0,0,0,0,2,4
2015-16,TELENGANA,ADILABAD,INSTITUTIONAL,TOTAL,SEMIMEDIUM,0,0,0,0,17,44
2015-16,TELENGANA,ADILABAD,INSTITUTIONAL,TOTAL,MEDIUM,0,0,0,0,9,65
2015-16,TELENGANA,ADILABAD,INSTITUTIONAL,TOTAL,LARGE,0,0,0,0,7,209
2015-16,TELENGANA,ADILABAD,INSTITUTIONAL,TOTAL,ALL CLASSES,0,0,0,0,42,324
2015-16,TELENGANA,KARIMNAGAR,SCHEDULED CASTE,TOTAL,MARGINAL,78929,30631,0,0,78929,30631
2015-16,TELENGANA,KARIMNAGAR,SCHEDULED CASTE,TOTAL,SMALL,14115,18807,0,0,14115,18807
2015-16,TELENGANA,KARIMNAGAR,SCHEDULED CASTE,TOTAL,SEMIMEDIUM,2894,7318,0,0,2894,7318
2015-16,TELENGANA,KARIMNAGAR,SCHEDULED CASTE,TOTAL,MEDIUM,336,1726,0,0,336,1726
2015-16,TELENGANA,KARIMNAGAR,SCHEDULED CASTE,TOTAL,LARGE,8,121,0,0,8,121
2015-16,TELENGANA,KARIMNAGAR,SCHEDULED CASTE,TOTAL,ALL CLASSES,96282,58602,0,0,96282,58602
2015-16,TELENGANA,KARIMNAGAR,SCHEDULED TRIBES,TOTAL,MARGINAL,13959,6468,0,0,13959,6468
2015-16,TELENGANA,KARIMNAGAR,SCHEDULED TRIBES,TOTAL,SMALL,4685,6447,0,0,4685,6447
2015-16,TELENGANA,KARIMNAGAR,SCHEDULED TRIBES,TOTAL,SEMIMEDIUM,1213,3063,0,0,1213,3063
2015-16,TELENGANA,KARIMNAGAR,SCHEDULED TRIBES,TOTAL,MEDIUM,120,611,0,0,120,611
2015-16,TELENGANA,KARIMNAGAR,SCHEDULED TRIBES,TOTAL,LARGE,11,156,0,0,11,156
