year,state,district,social_group,gender,size_category,ind_holdings_number,ind_holdings_area_ha,jnt_holdings_number,jnt_holdings_area_ha,tot_holdings_number,tot_holdings_area_ha
2015-16,A & N ISLANDS,NICOBAR,SCHEDULED CASTE,TOTAL,MARGINAL,0,0,0,0,0,0
2015-16,A & N ISLANDS,NICOBAR,SCHEDULED CASTE,TOTAL,SMALL,0,0,0,0,0,0
2015-16,A & N ISLANDS,NICOBAR,SCHEDULED CASTE,TOTAL,SEMIMEDIUM,0,0,0,0,0,0
2015-16,A & N ISLANDS,NICOBAR,SCHEDULED CASTE,TOTAL,MEDIUM,0,0,0,0,0,0
2015-16,A & N ISLANDS,NICOBAR,SCHEDULED CASTE,TOTAL,LARGE,0,0,0,0,0,0
2015-16,A & N ISLANDS,NICOBAR,SCHEDULED CASTE,TOTAL,ALL CLASSES,0,0,0,0,0,0
2015-16,A & N ISLANDS,NICOBAR,SCHEDULED TRIBES,TOTAL,MARGINAL,0,0,0,0,0,0
2015-16,A & N ISLANDS,NICOBAR,SCHEDULED TRIBES,TOTAL,SMALL,0,0,0,0,0,0
2015-16,A & N ISLANDS,NICOBAR,SCHEDULED TRIBES,TOTAL,SEMIMEDIUM,0,0,0,0,0,0
2015-16,A & N ISLANDS,NICOBAR,SCHEDULED TRIBES,TOTAL,MEDIUM,0,0,0,0,0,0
2015-16,A & N ISLANDS,NICOBAR,SCHEDULED TRIBES,TOTAL,LARGE,0,0,0,0,0,0
2015-16,A & N ISLANDS,NICOBAR,SCHEDULED TRIBES,TOTAL,ALL CLASSES,0,0,0,0,0,0
2015-16,A & N ISLANDS,NICOBAR,OTHERS,TOTAL,MARGINAL,154,76,9,4,163,79
2015-16,A & N ISLANDS,NICOBAR,OTHERS,TOTAL,SMALL,45,67,6,11,51,78
2015-16,A & N ISLANDS,NICOBAR,OTHERS,TOTAL,SEMIMEDIUM,73,206,15,43,88,250
2015-16,A & N ISLANDS,NICOBAR,OTHERS,TOTAL,MEDIUM,181,938,26,148,207,1088
2015-16,A & N ISLANDS,NICOBAR,OTHERS,TOTAL,LARGE,0,0,0,0,0,0
2015-16,A & N ISLANDS,NICOBAR,OTHERS,TOTAL,ALL CLASSES,453,1287,56,207,509,1494
2015-16,A & N ISLANDS,NICOBAR,INSTITUTIONAL,TOTAL,MARGINAL,0,0,0,0,33,8
2015-16,A & N ISLANDS,NICOBAR,INSTITUTIONAL,TOTAL,SMALL,0,0,0,0,5,8
2015-16,A & N ISLANDS,NICOBAR,INSTITUTIONAL,TOTAL,SEMIMEDIUM,0,0,0,0,7,19
2015-16,A & N ISLANDS,NICOBAR,INSTITUTIONAL,TOTAL,MEDIUM,0,0,0,0,5,26
2015-16,A & N ISLANDS,NICOBAR,INSTITUTIONAL,TOTAL,LARGE,0,0,0,0,1,10
2015-16,A & N ISLANDS,NICOBAR,INSTITUTIONAL,TOTAL,ALL CLASSES,0,0,0,0,51,70
2015-16,A & N ISLANDS,NORTH & MIDDLE ANDAMAN,SCHEDULED CASTE,TOTAL,MARGINAL,0,0,0,0,0,0
2015-16,A & N ISLANDS,NORTH & MIDDLE ANDAMAN,SCHEDULED CASTE,TOTAL,SMALL,0,0,0,0,0,0
2015-16,A & N ISLANDS,NORTH & MIDDLE ANDAMAN,SCHEDULED CASTE,TOTAL,SEMIMEDIUM,0,0,0,0,0,0
2015-16,A & N ISLANDS,NORTH & MIDDLE ANDAMAN,SCHEDULED CASTE,TOTAL,MEDIUM,0,0,0,0,0,0
2015-16,A & N ISLANDS,NORTH & MIDDLE ANDAMAN,SCHEDULED CASTE,TOTAL,LARGE,0,0,0,0,0,0
2015-16,A & N ISLANDS,NORTH & MIDDLE ANDAMAN,SCHEDULED CASTE,TOTAL,ALL CLASSES,0,0,0,0,0,0
2015-16,A & N ISLANDS,NORTH & MIDDLE ANDAMAN,SCHEDULED TRIBES,TOTAL,MARGINAL,0,0,0,0,0,0
2015-16,A & N ISLANDS,NORTH & MIDDLE ANDAMAN,SCHEDULED TRIBES,TOTAL,SMALL,0,0,0,0,0,0
2015-16,A & N ISLANDS,NORTH & MIDDLE ANDAMAN,SCHEDULED TRIBES,TOTAL,SEMIMEDIUM,0,0,0,0,0,0
2015-16,A & N ISLANDS,NORTH & MIDDLE ANDAMAN,SCHEDULED TRIBES,TOTAL,MEDIUM,0,0,0,0,0,0
2015-16,A & N ISLANDS,NORTH & MIDDLE ANDAMAN,SCHEDULED TRIBES,TOTAL,LARGE,0,0,0,0,0,0
2015-16,A & N ISLANDS,NORTH & MIDDLE ANDAMAN,SCHEDULED TRIBES,TOTAL,ALL CLASSES,0,0,0,0,0,0
2015-16,A & N ISLANDS,NORTH & MIDDLE ANDAMAN,OTHERS,TOTAL,MARGINAL,1939,934,325,194,2264,1128
2015-16,A & N ISLANDS,NORTH & MIDDLE ANDAMAN,OTHERS,TOTAL,SMALL,927,1534,313,466,1240,2000
2015-16,A & N ISLANDS,NORTH & MIDDLE ANDAMAN,OTHERS,TOTAL,SEMIMEDIUM,815,2130,810,2576,1625,4704
2015-16,A & N ISLANDS,NORTH & MIDDLE ANDAMAN,OTHERS,TOTAL,MEDIUM,371,1639,600,2479,971,4118
2015-16,A & N ISLANDS,NORTH & MIDDLE ANDAMAN,OTHERS,TOTAL,LARGE,0,0,0,0,0,0
2015-16,A & N ISLANDS,NORTH & MIDDLE ANDAMAN,OTHERS,TOTAL,ALL CLASSES,4052,6237,2048,5715,6100,11951
2015-16,A & N ISLANDS,NORTH & MIDDLE ANDAMAN,INSTITUTIONAL,TOTAL,MARGINAL,0,0,0,0,57,18
2015-16,A & N ISLANDS,NORTH & MIDDLE ANDAMAN,INSTITUTIONAL,TOTAL,SMALL,0,0,0,0,12,16
2015-16,A & N ISLANDS,NORTH & MIDDLE ANDAMAN,INSTITUTIONAL,TOTAL,SEMIMEDIUM,0,0,0,0,15,39
2015-16,A & N ISLANDS,NORTH & MIDDLE ANDAMAN,INSTITUTIONAL,TOTAL,MEDIUM,0,0,0,0,12,70
2015-16,A & N ISLANDS,NORTH & MIDDLE ANDAMAN,INSTITUTIONAL,TOTAL,LARGE,0,0,0,0,7,189
2015-16,A & N ISLANDS,NORTH & MIDDLE ANDAMAN,INSTITUTIONAL,TOTAL,ALL CLASSES,0,0,0,0,103,331
2015-16,A & N ISLANDS,SOUTH ANDAMAN,SCHEDULED CASTE,TOTAL,MARGINAL,0,0,0,0,0,0
2015-16,A & N ISLANDS,SOUTH ANDAMAN,SCHEDULED CASTE,TOTAL,SMALL,0,0,0,0,0,0
2015-16,A & N ISLANDS,SOUTH ANDAMAN,SCHEDULED CASTE,TOTAL,SEMIMEDIUM,0,0,0,0,0,0
2015-16,A & N ISLANDS,SOUTH ANDAMAN,SCHEDULED CASTE,TOTAL,MEDIUM,0,0,0,0,0,0
2015-16,A & N ISLANDS,SOUTH ANDAMAN,SCHEDULED CASTE,TOTAL,LARGE,0,0,0,0,0,0
2015-16,A & N ISLANDS,SOUTH ANDAMAN,SCHEDULED CASTE,TOTAL,ALL CLASSES,0,0,0,0,0,0
2015-16,A & N ISLANDS,SOUTH ANDAMAN,SCHEDULED TRIBES,TOTAL,MARGINAL,0,0,0,0,0,0
2015-16,A & N ISLANDS,SOUTH ANDAMAN,SCHEDULED TRIBES,TOTAL,SMALL,0,0,0,0,0,0
2015-16,A & N ISLANDS,SOUTH ANDAMAN,SCHEDULED TRIBES,TOTAL,SEMIMEDIUM,0,0,0,0,0,0
2015-16,A & N ISLANDS,SOUTH ANDAMAN,SCHEDULED TRIBES,TOTAL,MEDIUM,0,0,0,0,0,0
2015-16,A & N ISLANDS,SOUTH ANDAMAN,SCHEDULED TRIBES,TOTAL,LARGE,0,0,0,0,0,0
2015-16,A & N ISLANDS,SOUTH ANDAMAN,SCHEDULED TRIBES,TOTAL,ALL CLASSES,0,0,0,0,0,0
2015-16,A & N ISLANDS,SOUTH ANDAMAN,OTHERS,TOTAL,MARGINAL,2205,953,402,175,2607,1128
2015-16,A & N ISLANDS,SOUTH ANDAMAN,OTHERS,TOTAL,SMALL,884,1067,319,531,1203,1598
2015-16,A & N ISLANDS,SOUTH ANDAMAN,OTHERS,TOTAL,SEMIMEDIUM,722,1706,397,1105,1119,2811
2015-16,A & N ISLANDS,SOUTH ANDAMAN,OTHERS,TOTAL,MEDIUM,94,465,68,326,162,790
2015-16,A & N ISLANDS,SOUTH ANDAMAN,OTHERS,TOTAL,LARGE,2,31,0,0,2,31
2015-16,A & N ISLANDS,SOUTH ANDAMAN,OTHERS,TOTAL,ALL CLASSES,3907,4220,1186,2137,5093,6358
2015-16,A & N ISLANDS,SOUTH ANDAMAN,INSTITUTIONAL,TOTAL,MARGINAL,0,0,0,0,30,12
2015-16,A & N ISLANDS,SOUTH ANDAMAN,INSTITUTIONAL,TOTAL,SMALL,0,0,0,0,22,38
2015-16,A & N ISLANDS,SOUTH ANDAMAN,INSTITUTIONAL,TOTAL,SEMIMEDIUM,0,0,0,0,21,52
2015-16,A & N ISLANDS,SOUTH ANDAMAN,INSTITUTIONAL,TOTAL,MEDIUM,0,0,0,0,7,37
2015-16,A & N ISLANDS,SOUTH ANDAMAN,INSTITUTIONAL,TOTAL,LARGE,0,0,0,0,18,877
2015-16,A & N ISLANDS,SOUTH ANDAMAN,INSTITUTIONAL,TOTAL,ALL CLASSES,0,0,0,0,98,1016
