year,state,district,social_group,gender,size_category,ind_holdings_number,ind_holdings_area_ha,jnt_holdings_number,jnt_holdings_area_ha,tot_holdings_number,tot_holdings_area_ha
2015-16,UTTARAKHAND,ALMORA,SCHEDULED CASTE,TOTAL,MARGINAL,17801,7680,0,0,17801,7680
2015-16,UTTARAKHAND,ALMORA,SCHEDULED CASTE,TOTAL,SMALL,2030,2756,0,0,2030,2756
2015-16,UTTARAKHAND,ALMORA,SCHEDULED CASTE,TOTAL,SEMIMEDIUM,316,795,0,0,316,795
2015-16,UTTARAKHAND,ALMORA,SCHEDULED CASTE,TOTAL,MEDIUM,10,59,0,0,10,59
2015-16,UTTARAKHAND,ALMORA,SCHEDULED CASTE,TOTAL,LARGE,0,0,0,0,0,0
2015-16,UTTARAKHAND,ALMORA,SCHEDULED CASTE,TOTAL,ALL CLASSES,20157,11289,0,0,20157,11289
2015-16,UTTARAKHAND,ALMORA,SCHEDULED TRIBES,TOTAL,MARGINAL,18,2,0,0,18,2
2015-16,UTTARAKHAND,ALMORA,SCHEDULED TRIBES,TOTAL,SMALL,0,0,0,0,0,0
2015-16,UTTARAKHAND,ALMORA,SCHEDULED TRIBES,TOTAL,SEMIMEDIUM,0,0,0,0,0,0
2015-16,UTTARAKHAND,ALMORA,SCHEDULED TRIBES,TOTAL,MEDIUM,0,0,0,0,0,0
2015-16,UTTARAKHAND,ALMORA,SCHEDULED TRIBES,TOTAL,LARGE,0,0,0,0,0,0
2015-16,UTTARAKHAND,ALMORA,SCHEDULED TRIBES,TOTAL,ALL CLASSES,18,2,0,0,18,2
2015-16,UTTARAKHAND,ALMORA,OTHERS,TOTAL,MARGINAL,58436,31124,0,0,58436,31124
2015-16,UTTARAKHAND,ALMORA,OTHERS,TOTAL,SMALL,19453,27135,0,0,19453,27135
2015-16,UTTARAKHAND,ALMORA,OTHERS,TOTAL,SEMIMEDIUM,4024,10212,0,0,4024,10212
2015-16,UTTARAKHAND,ALMORA,OTHERS,TOTAL,MEDIUM,129,639,0,0,129,639
2015-16,UTTARAKHAND,ALMORA,OTHERS,TOTAL,LARGE,2,22,0,0,2,22
2015-16,UTTARAKHAND,ALMORA,OTHERS,TOTAL,ALL CLASSES,82044,69131,0,0,82044,69131
2015-16,UTTARAKHAND,ALMORA,INSTITUTIONAL,TOTAL,MARGINAL,0,0,0,0,3,1
2015-16,UTTARAKHAND,ALMORA,INSTITUTIONAL,TOTAL,SMALL,0,0,0,0,7,12
2015-16,UTTARAKHAND,ALMORA,INSTITUTIONAL,TOTAL,SEMIMEDIUM,0,0,0,0,3,7
2015-16,UTTARAKHAND,ALMORA,INSTITUTIONAL,TOTAL,MEDIUM,0,0,0,0,4,26
2015-16,UTTARAKHAND,ALMORA,INSTITUTIONAL,TOTAL,LARGE,0,0,0,0,4,85
2015-16,UTTARAKHAND,ALMORA,INSTITUTIONAL,TOTAL,ALL CLASSES,0,0,0,0,21,133
2015-16,UTTARAKHAND,BAGESHWAR,SCHEDULED CASTE,TOTAL,MARGINAL,9344,3088,0,0,9344,3088
2015-16,UTTARAKHAND,BAGESHWAR,SCHEDULED CASTE,TOTAL,SMALL,172,224,0,0,172,224
2015-16,UTTARAKHAND,BAGESHWAR,SCHEDULED CASTE,TOTAL,SEMIMEDIUM,11,28,0,0,11,28
2015-16,UTTARAKHAND,BAGESHWAR,SCHEDULED CASTE,TOTAL,MEDIUM,0,0,0,0,0,0
2015-16,UTTARAKHAND,BAGESHWAR,SCHEDULED CASTE,TOTAL,LARGE,0,0,0,0,0,0
2015-16,UTTARAKHAND,BAGESHWAR,SCHEDULED CASTE,TOTAL,ALL CLASSES,9527,3339,0,0,9527,3339
2015-16,UTTARAKHAND,BAGESHWAR,SCHEDULED TRIBES,TOTAL,MARGINAL,203,96,0,0,203,96
2015-16,UTTARAKHAND,BAGESHWAR,SCHEDULED TRIBES,TOTAL,SMALL,29,35,0,0,29,35
2015-16,UTTARAKHAND,BAGESHWAR,SCHEDULED TRIBES,TOTAL,SEMIMEDIUM,2,5,0,0,2,5
2015-16,UTTARAKHAND,BAGESHWAR,SCHEDULED TRIBES,TOTAL,MEDIUM,0,0,0,0,0,0
2015-16,UTTARAKHAND,BAGESHWAR,SCHEDULED TRIBES,TOTAL,LARGE,0,0,0,0,0,0
2015-16,UTTARAKHAND,BAGESHWAR,SCHEDULED TRIBES,TOTAL,ALL CLASSES,234,137,0,0,234,137
2015-16,UTTARAKHAND,BAGESHWAR,OTHERS,TOTAL,MARGINAL,34411,15403,0,0,34411,15403
2015-16,UTTARAKHAND,BAGESHWAR,OTHERS,TOTAL,SMALL,3177,4171,0,0,3177,4171
2015-16,UTTARAKHAND,BAGESHWAR,OTHERS,TOTAL,SEMIMEDIUM,163,403,0,0,163,403
2015-16,UTTARAKHAND,BAGESHWAR,OTHERS,TOTAL,MEDIUM,3,18,0,0,3,18
2015-16,UTTARAKHAND,BAGESHWAR,OTHERS,TOTAL,LARGE,0,0,0,0,0,0
2015-16,UTTARAKHAND,BAGESHWAR,OTHERS,TOTAL,ALL CLASSES,37754,19995,0,0,37754,19995
2015-16,UTTARAKHAND,BAGESHWAR,INSTITUTIONAL,TOTAL,MARGINAL,0,0,0,0,1,0
2015-16,UTTARAKHAND,BAGESHWAR,INSTITUTIONAL,TOTAL,SMALL,0,0,0,0,3,5
2015-16,UTTARAKHAND,BAGESHWAR,INSTITUTIONAL,TOTAL,SEMIMEDIUM,0,0,0,0,0,0
2015-16,UTTARAKHAND,BAGESHWAR,INSTITUTIONAL,TOTAL,MEDIUM,0,0,0,0,2,18
2015-16,UTTARAKHAND,BAGESHWAR,INSTITUTIONAL,TOTAL,LARGE,0,0,0,0,1,63
2015-16,UTTARAKHAND,BAGESHWAR,INSTITUTIONAL,TOTAL,ALL CLASSES,0,0,0,0,7,86
2015-16,UTTARAKHAND,CHAMOLI,SCHEDULED CASTE,TOTAL,MARGINAL,3183,878,1644,681,4827,1559
2015-16,UTTARAKHAND,CHAMOLI,SCHEDULED CASTE,TOTAL,SMALL,74,102,421,581,495,683
2015-16,UTTARAKHAND,CHAMOLI,SCHEDULED CASTE,TOTAL,SEMIMEDIUM,2,6,96,246,98,252
2015-16,UTTARAKHAND,CHAMOLI,SCHEDULED CASTE,TOTAL,MEDIUM,1,4,15,75,16,79
2015-16,UTTARAKHAND,CHAMOLI,SCHEDULED CASTE,TOTAL,LARGE,0,0,0,0,0,0
2015-16,UTTARAKHAND,CHAMOLI,SCHEDULED CASTE,TOTAL,ALL CLASSES,3260,990,2176,1584,5436,2574
2015-16,UTTARAKHAND,CHAMOLI,SCHEDULED TRIBES,TOTAL,MARGINAL,735,165,623,238,1358,403
2015-16,UTTARAKHAND,CHAMOLI,SCHEDULED TRIBES,TOTAL,SMALL,34,47,226,319,260,366
2015-16,UTTARAKHAND,CHAMOLI,SCHEDULED TRIBES,TOTAL,SEMIMEDIUM,10,25,91,244,101,270
2015-16,UTTARAKHAND,CHAMOLI,SCHEDULED TRIBES,TOTAL,MEDIUM,1,5,23,113,24,119
2015-16,UTTARAKHAND,CHAMOLI,SCHEDULED TRIBES,TOTAL,LARGE,0,0,0,0,0,0
2015-16,UTTARAKHAND,CHAMOLI,SCHEDULED TRIBES,TOTAL,ALL CLASSES,780,243,963,915,1743,1158
2015-16,UTTARAKHAND,CHAMOLI,OTHERS,TOTAL,MARGINAL,17904,6702,11175,4942,29079,11643
2015-16,UTTARAKHAND,CHAMOLI,OTHERS,TOTAL,SMALL,1820,2388,5584,7883,7404,10272
2015-16,UTTARAKHAND,CHAMOLI,OTHERS,TOTAL,SEMIMEDIUM,158,386,2446,6515,2604,6900
2015-16,UTTARAKHAND,CHAMOLI,OTHERS,TOTAL,MEDIUM,11,53,354,1849,365,1902
2015-16,UTTARAKHAND,CHAMOLI,OTHERS,TOTAL,LARGE,0,0,10,130,10,130
2015-16,UTTARAKHAND,CHAMOLI,OTHERS,TOTAL,ALL CLASSES,19893,9528,19569,21319,39462,30847
2015-16,UTTARAKHAND,CHAMOLI,INSTITUTIONAL,TOTAL,MARGINAL,0,0,0,0,343,78
2015-16,UTTARAKHAND,CHAMOLI,INSTITUTIONAL,TOTAL,SMALL,0,0,0,0,27,35
2015-16,UTTARAKHAND,CHAMOLI,INSTITUTIONAL,TOTAL,SEMIMEDIUM,0,0,0,0,25,69
2015-16,UTTARAKHAND,CHAMOLI,INSTITUTIONAL,TOTAL,MEDIUM,0,0,0,0,6,33
2015-16,UTTARAKHAND,CHAMOLI,INSTITUTIONAL,TOTAL,LARGE,0,0,0,0,7,137
2015-16,UTTARAKHAND,CHAMOLI,INSTITUTIONAL,TOTAL,ALL CLASSES,0,0,0,0,408,353
2015-16,UTTARAKHAND,CHAMPAWAT,SCHEDULED CASTE,TOTAL,MARGINAL,4454,2001,5,3,4459,2004
2015-16,UTTARAKHAND,CHAMPAWAT,SCHEDULED CASTE,TOTAL,SMALL,390,548,0,0,390,548
2015-16,UTTARAKHAND,CHAMPAWAT,SCHEDULED CASTE,TOTAL,SEMIMEDIUM,81,214,0,0,81,214
2015-16,UTTARAKHAND,CHAMPAWAT,SCHEDULED CASTE,TOTAL,MEDIUM,3,14,0,0,3,14
2015-16,UTTARAKHAND,CHAMPAWAT,SCHEDULED CASTE,TOTAL,LARGE,0,0,0,0,0,0
2015-16,UTTARAKHAND,CHAMPAWAT,SCHEDULED CASTE,TOTAL,ALL CLASSES,4928,2777,5,3,4933,2780
2015-16,UTTARAKHAND,CHAMPAWAT,SCHEDULED TRIBES,TOTAL,MARGINAL,26,13,0,0,26,13
2015-16,UTTARAKHAND,CHAMPAWAT,SCHEDULED TRIBES,TOTAL,SMALL,10,15,0,0,10,15
2015-16,UTTARAKHAND,CHAMPAWAT,SCHEDULED TRIBES,TOTAL,SEMIMEDIUM,10,32,0,0,10,32
2015-16,UTTARAKHAND,CHAMPAWAT,SCHEDULED TRIBES,TOTAL,MEDIUM,6,36,0,0,6,36
2015-16,UTTARAKHAND,CHAMPAWAT,SCHEDULED TRIBES,TOTAL,LARGE,0,0,0,0,0,0
2015-16,UTTARAKHAND,CHAMPAWAT,SCHEDULED TRIBES,TOTAL,ALL CLASSES,52,96,0,0,52,96
2015-16,UTTARAKHAND,CHAMPAWAT,OTHERS,TOTAL,MARGINAL,20915,10566,2,1,20917,10567
2015-16,UTTARAKHAND,CHAMPAWAT,OTHERS,TOTAL,SMALL,4762,6944,4,6,4766,6950
2015-16,UTTARAKHAND,CHAMPAWAT,OTHERS,TOTAL,SEMIMEDIUM,1465,3889,8,24,1473,3914
2015-16,UTTARAKHAND,CHAMPAWAT,OTHERS,TOTAL,MEDIUM,99,498,0,0,99,498
2015-16,UTTARAKHAND,CHAMPAWAT,OTHERS,TOTAL,LARGE,4,50,0,0,4,50
2015-16,UTTARAKHAND,CHAMPAWAT,OTHERS,TOTAL,ALL CLASSES,27245,21948,14,32,27259,21980
2015-16,UTTARAKHAND,CHAMPAWAT,INSTITUTIONAL,TOTAL,MARGINAL,0,0,0,0,2,0
2015-16,UTTARAKHAND,CHAMPAWAT,INSTITUTIONAL,TOTAL,SMALL,0,0,0,0,0,0
2015-16,UTTARAKHAND,CHAMPAWAT,INSTITUTIONAL,TOTAL,SEMIMEDIUM,0,0,0,0,3,9
2015-16,UTTARAKHAND,CHAMPAWAT,INSTITUTIONAL,TOTAL,MEDIUM,0,0,0,0,5,37
2015-16,UTTARAKHAND,CHAMPAWAT,INSTITUTIONAL,TOTAL,LARGE,0,0,0,0,3,89
2015-16,UTTARAKHAND,CHAMPAWAT,INSTITUTIONAL,TOTAL,ALL CLASSES,0,0,0,0,13,136
2015-16,UTTARAKHAND,DEHRADUN,SCHEDULED CASTE,TOTAL,MARGINAL,3620,1439,942,364,4562,1804
2015-16,UTTARAKHAND,DEHRADUN,SCHEDULED CASTE,TOTAL,SMALL,1119,1571,188,258,1307,1829
2015-16,UTTARAKHAND,DEHRADUN,SCHEDULED CASTE,TOTAL,SEMIMEDIUM,453,1203,61,165,514,1368
2015-16,UTTARAKHAND,DEHRADUN,SCHEDULED CASTE,TOTAL,MEDIUM,56,295,9,48,65,343
2015-16,UTTARAKHAND,DEHRADUN,SCHEDULED CASTE,TOTAL,LARGE,2,24,0,0,2,24
2015-16,UTTARAKHAND,DEHRADUN,SCHEDULED CASTE,TOTAL,ALL CLASSES,5250,4531,1200,837,6450,5368
2015-16,UTTARAKHAND,DEHRADUN,SCHEDULED TRIBES,TOTAL,MARGINAL,2875,996,927,365,3802,1361
2015-16,UTTARAKHAND,DEHRADUN,SCHEDULED TRIBES,TOTAL,SMALL,1394,2109,119,159,1513,2268
2015-16,UTTARAKHAND,DEHRADUN,SCHEDULED TRIBES,TOTAL,SEMIMEDIUM,1968,5641,46,123,2014,5764
2015-16,UTTARAKHAND,DEHRADUN,SCHEDULED TRIBES,TOTAL,MEDIUM,881,4874,4,19,885,4893
2015-16,UTTARAKHAND,DEHRADUN,SCHEDULED TRIBES,TOTAL,LARGE,58,930,0,0,58,930
2015-16,UTTARAKHAND,DEHRADUN,SCHEDULED TRIBES,TOTAL,ALL CLASSES,7176,14550,1096,666,8272,15217
2015-16,UTTARAKHAND,DEHRADUN,OTHERS,TOTAL,MARGINAL,18845,5870,12366,5083,31211,10953
2015-16,UTTARAKHAND,DEHRADUN,OTHERS,TOTAL,SMALL,1533,2081,2757,3844,4290,5925
2015-16,UTTARAKHAND,DEHRADUN,OTHERS,TOTAL,SEMIMEDIUM,560,1484,1336,3650,1896,5134
2015-16,UTTARAKHAND,DEHRADUN,OTHERS,TOTAL,MEDIUM,131,660,381,2080,512,2740
2015-16,UTTARAKHAND,DEHRADUN,OTHERS,TOTAL,LARGE,2,23,23,374,25,397
2015-16,UTTARAKHAND,DEHRADUN,OTHERS,TOTAL,ALL CLASSES,21071,10117,16863,15034,37934,25150
2015-16,UTTARAKHAND,DEHRADUN,INSTITUTIONAL,TOTAL,MARGINAL,0,0,0,0,95,35
2015-16,UTTARAKHAND,DEHRADUN,INSTITUTIONAL,TOTAL,SMALL,0,0,0,0,44,62
