year,state,district,social_group,gender,size_category,ind_holdings_number,ind_holdings_area_ha,jnt_holdings_number,jnt_holdings_area_ha,tot_holdings_number,tot_holdings_area_ha
2015-16,WEST BENGAL,ALIPURDUAR,SCHEDULED CASTE,TOTAL,MARGINAL,55181,26519,0,0,55181,26519
2015-16,WEST BENGAL,ALIPURDUAR,SCHEDULED CASTE,TOTAL,SMALL,7126,11647,0,0,7126,11647
2015-16,WEST BENGAL,ALIPURDUAR,SCHEDULED CASTE,TOTAL,SEMIMEDIUM,869,2360,0,0,869,2360
2015-16,WEST BENGAL,ALIPURDUAR,SCHEDULED CASTE,TOTAL,MEDIUM,63,299,0,0,63,299
2015-16,WEST BENGAL,ALIPURDUAR,SCHEDULED CASTE,TOTAL,LARGE,0,0,0,0,0,0
2015-16,WEST BENGAL,ALIPURDUAR,SCHEDULED CASTE,TOTAL,ALL CLASSES,63239,40826,0,0,63239,40826
2015-16,WEST BENGAL,ALIPURDUAR,SCHEDULED TRIBES,TOTAL,MARGINAL,24257,13466,0,0,24257,13466
2015-16,WEST BENGAL,ALIPURDUAR,SCHEDULED TRIBES,TOTAL,SMALL,7181,11252,0,0,7181,11252
2015-16,WEST BENGAL,ALIPURDUAR,SCHEDULED TRIBES,TOTAL,SEMIMEDIUM,754,1944,0,0,754,1944
2015-16,WEST BENGAL,ALIPURDUAR,SCHEDULED TRIBES,TOTAL,MEDIUM,27,166,0,0,27,166
2015-16,WEST BENGAL,ALIPURDUAR,SCHEDULED TRIBES,TOTAL,LARGE,0,0,0,0,0,0
2015-16,WEST BENGAL,ALIPURDUAR,SCHEDULED TRIBES,TOTAL,ALL CLASSES,32219,26828,0,0,32219,26828
2015-16,WEST BENGAL,ALIPURDUAR,OTHERS,TOTAL,MARGINAL,39491,19209,0,0,39491,19209
2015-16,WEST BENGAL,ALIPURDUAR,OTHERS,TOTAL,SMALL,5046,8197,0,0,5046,8197
2015-16,WEST BENGAL,ALIPURDUAR,OTHERS,TOTAL,SEMIMEDIUM,1456,4021,0,0,1456,4021
2015-16,WEST BENGAL,ALIPURDUAR,OTHERS,TOTAL,MEDIUM,18,119,0,0,18,119
2015-16,WEST BENGAL,ALIPURDUAR,OTHERS,TOTAL,LARGE,0,0,0,0,0,0
2015-16,WEST BENGAL,ALIPURDUAR,OTHERS,TOTAL,ALL CLASSES,46011,31546,0,0,46011,31546
2015-16,WEST BENGAL,ALIPURDUAR,INSTITUTIONAL,TOTAL,MARGINAL,0,0,0,0,46,15
2015-16,WEST BENGAL,ALIPURDUAR,INSTITUTIONAL,TOTAL,SMALL,0,0,0,0,12,14
2015-16,WEST BENGAL,ALIPURDUAR,INSTITUTIONAL,TOTAL,SEMIMEDIUM,0,0,0,0,6,13
2015-16,WEST BENGAL,ALIPURDUAR,INSTITUTIONAL,TOTAL,MEDIUM,0,0,0,0,5,44
2015-16,WEST BENGAL,ALIPURDUAR,INSTITUTIONAL,TOTAL,LARGE,0,0,0,0,71,55473
2015-16,WEST BENGAL,ALIPURDUAR,INSTITUTIONAL,TOTAL,ALL CLASSES,0,0,0,0,140,55558
2015-16,WEST BENGAL,BANKURA,SCHEDULED CASTE,TOTAL,MARGINAL,70707,27622,0,0,70707,27622
2015-16,WEST BENGAL,BANKURA,SCHEDULED CASTE,TOTAL,SMALL,16011,22750,0,0,16011,22750
2015-16,WEST BENGAL,BANKURA,SCHEDULED CASTE,TOTAL,SEMIMEDIUM,2988,6710,0,0,2988,6710
2015-16,WEST BENGAL,BANKURA,SCHEDULED CASTE,TOTAL,MEDIUM,45,198,0,0,45,198
2015-16,WEST BENGAL,BANKURA,SCHEDULED CASTE,TOTAL,LARGE,0,0,0,0,0,0
2015-16,WEST BENGAL,BANKURA,SCHEDULED CASTE,TOTAL,ALL CLASSES,89751,57279,0,0,89751,57279
2015-16,WEST BENGAL,BANKURA,SCHEDULED TRIBES,TOTAL,MARGINAL,55144,29456,0,0,55144,29456
2015-16,WEST BENGAL,BANKURA,SCHEDULED TRIBES,TOTAL,SMALL,12635,16894,0,0,12635,16894
2015-16,WEST BENGAL,BANKURA,SCHEDULED TRIBES,TOTAL,SEMIMEDIUM,2553,6259,0,0,2553,6259
2015-16,WEST BENGAL,BANKURA,SCHEDULED TRIBES,TOTAL,MEDIUM,55,302,0,0,55,302
2015-16,WEST BENGAL,BANKURA,SCHEDULED TRIBES,TOTAL,LARGE,0,0,0,0,0,0
2015-16,WEST BENGAL,BANKURA,SCHEDULED TRIBES,TOTAL,ALL CLASSES,70387,52911,0,0,70387,52911
2015-16,WEST BENGAL,BANKURA,OTHERS,TOTAL,MARGINAL,157226,84626,0,0,157226,84626
2015-16,WEST BENGAL,BANKURA,OTHERS,TOTAL,SMALL,58207,88098,0,0,58207,88098
2015-16,WEST BENGAL,BANKURA,OTHERS,TOTAL,SEMIMEDIUM,31824,86077,0,0,31824,86077
2015-16,WEST BENGAL,BANKURA,OTHERS,TOTAL,MEDIUM,4431,20738,0,0,4431,20738
2015-16,WEST BENGAL,BANKURA,OTHERS,TOTAL,LARGE,0,0,0,0,0,0
2015-16,WEST BENGAL,BANKURA,OTHERS,TOTAL,ALL CLASSES,251688,279540,0,0,251688,279540
2015-16,WEST BENGAL,BANKURA,INSTITUTIONAL,TOTAL,MARGINAL,0,0,0,0,5,2
2015-16,WEST BENGAL,BANKURA,INSTITUTIONAL,TOTAL,SMALL,0,0,0,0,0,0
2015-16,WEST BENGAL,BANKURA,INSTITUTIONAL,TOTAL,SEMIMEDIUM,0,0,0,0,6,15
2015-16,WEST BENGAL,BANKURA,INSTITUTIONAL,TOTAL,MEDIUM,0,0,0,0,10,66
2015-16,WEST BENGAL,BANKURA,INSTITUTIONAL,TOTAL,LARGE,0,0,0,0,6,188
2015-16,WEST BENGAL,BANKURA,INSTITUTIONAL,TOTAL,ALL CLASSES,0,0,0,0,27,271
2015-16,WEST BENGAL,BIRBHUM,SCHEDULED CASTE,TOTAL,MARGINAL,63386,32857,0,0,63386,32857
2015-16,WEST BENGAL,BIRBHUM,SCHEDULED CASTE,TOTAL,SMALL,10618,17773,0,0,10618,17773
2015-16,WEST BENGAL,BIRBHUM,SCHEDULED CASTE,TOTAL,SEMIMEDIUM,2639,7436,0,0,2639,7436
2015-16,WEST BENGAL,BIRBHUM,SCHEDULED CASTE,TOTAL,MEDIUM,59,283,0,0,59,283
2015-16,WEST BENGAL,BIRBHUM,SCHEDULED CASTE,TOTAL,LARGE,0,0,0,0,0,0
2015-16,WEST BENGAL,BIRBHUM,SCHEDULED CASTE,TOTAL,ALL CLASSES,76702,58348,0,0,76702,58348
2015-16,WEST BENGAL,BIRBHUM,SCHEDULED TRIBES,TOTAL,MARGINAL,24184,13811,0,0,24184,13811
2015-16,WEST BENGAL,BIRBHUM,SCHEDULED TRIBES,TOTAL,SMALL,5955,9733,0,0,5955,9733
2015-16,WEST BENGAL,BIRBHUM,SCHEDULED TRIBES,TOTAL,SEMIMEDIUM,2022,5609,0,0,2022,5609
2015-16,WEST BENGAL,BIRBHUM,SCHEDULED TRIBES,TOTAL,MEDIUM,35,174,0,0,35,174
2015-16,WEST BENGAL,BIRBHUM,SCHEDULED TRIBES,TOTAL,LARGE,0,0,0,0,0,0
2015-16,WEST BENGAL,BIRBHUM,SCHEDULED TRIBES,TOTAL,ALL CLASSES,32196,29327,0,0,32196,29327
2015-16,WEST BENGAL,BIRBHUM,OTHERS,TOTAL,MARGINAL,142379,80541,0,0,142379,80541
2015-16,WEST BENGAL,BIRBHUM,OTHERS,TOTAL,SMALL,41413,67541,0,0,41413,67541
2015-16,WEST BENGAL,BIRBHUM,OTHERS,TOTAL,SEMIMEDIUM,20896,62146,0,0,20896,62146
2015-16,WEST BENGAL,BIRBHUM,OTHERS,TOTAL,MEDIUM,1085,5151,0,0,1085,5151
2015-16,WEST BENGAL,BIRBHUM,OTHERS,TOTAL,LARGE,0,0,0,0,0,0
2015-16,WEST BENGAL,BIRBHUM,OTHERS,TOTAL,ALL CLASSES,205773,215377,0,0,205773,215377
2015-16,WEST BENGAL,BIRBHUM,INSTITUTIONAL,TOTAL,MARGINAL,0,0,0,0,186,77
2015-16,WEST BENGAL,BIRBHUM,INSTITUTIONAL,TOTAL,SMALL,0,0,0,0,45,60
2015-16,WEST BENGAL,BIRBHUM,INSTITUTIONAL,TOTAL,SEMIMEDIUM,0,0,0,0,22,66
2015-16,WEST BENGAL,BIRBHUM,INSTITUTIONAL,TOTAL,MEDIUM,0,0,0,0,11,73
2015-16,WEST BENGAL,BIRBHUM,INSTITUTIONAL,TOTAL,LARGE,0,0,0,0,9,540
2015-16,WEST BENGAL,BIRBHUM,INSTITUTIONAL,TOTAL,ALL CLASSES,0,0,0,0,273,816
2015-16,WEST BENGAL,COOCH BEHAR,SCHEDULED CASTE,TOTAL,MARGINAL,155546,87440,0,0,155546,87440
2015-16,WEST BENGAL,COOCH BEHAR,SCHEDULED CASTE,TOTAL,SMALL,29149,49477,0,0,29149,49477
2015-16,WEST BENGAL,COOCH BEHAR,SCHEDULED CASTE,TOTAL,SEMIMEDIUM,10351,26901,0,0,10351,26901
2015-16,WEST BENGAL,COOCH BEHAR,SCHEDULED CASTE,TOTAL,MEDIUM,79,418,0,0,79,418
2015-16,WEST BENGAL,COOCH BEHAR,SCHEDULED CASTE,TOTAL,LARGE,0,0,0,0,0,0
2015-16,WEST BENGAL,COOCH BEHAR,SCHEDULED CASTE,TOTAL,ALL CLASSES,195125,164237,0,0,195125,164237
2015-16,WEST BENGAL,COOCH BEHAR,SCHEDULED TRIBES,TOTAL,MARGINAL,1720,518,0,0,1720,518
2015-16,WEST BENGAL,COOCH BEHAR,SCHEDULED TRIBES,TOTAL,SMALL,89,118,0,0,89,118
2015-16,WEST BENGAL,COOCH BEHAR,SCHEDULED TRIBES,TOTAL,SEMIMEDIUM,23,64,0,0,23,64
2015-16,WEST BENGAL,COOCH BEHAR,SCHEDULED TRIBES,TOTAL,MEDIUM,0,0,0,0,0,0
2015-16,WEST BENGAL,COOCH BEHAR,SCHEDULED TRIBES,TOTAL,LARGE,0,0,0,0,0,0
2015-16,WEST BENGAL,COOCH BEHAR,SCHEDULED TRIBES,TOTAL,ALL CLASSES,1832,700,0,0,1832,700
2015-16,WEST BENGAL,COOCH BEHAR,OTHERS,TOTAL,MARGINAL,99956,53369,0,0,99956,53369
2015-16,WEST BENGAL,COOCH BEHAR,OTHERS,TOTAL,SMALL,18525,28754,0,0,18525,28754
2015-16,WEST BENGAL,COOCH BEHAR,OTHERS,TOTAL,SEMIMEDIUM,8740,23914,0,0,8740,23914
2015-16,WEST BENGAL,COOCH BEHAR,OTHERS,TOTAL,MEDIUM,73,342,0,0,73,342
2015-16,WEST BENGAL,COOCH BEHAR,OTHERS,TOTAL,LARGE,0,0,0,0,0,0
2015-16,WEST BENGAL,COOCH BEHAR,OTHERS,TOTAL,ALL CLASSES,127294,106378,0,0,127294,106378
2015-16,WEST BENGAL,COOCH BEHAR,INSTITUTIONAL,TOTAL,MARGINAL,0,0,0,0,158,82
2015-16,WEST BENGAL,COOCH BEHAR,INSTITUTIONAL,TOTAL,SMALL,0,0,0,0,10,15
2015-16,WEST BENGAL,COOCH BEHAR,INSTITUTIONAL,TOTAL,SEMIMEDIUM,0,0,0,0,39,92
2015-16,WEST BENGAL,COOCH BEHAR,INSTITUTIONAL,TOTAL,MEDIUM,0,0,0,0,1,8
2015-16,WEST BENGAL,COOCH BEHAR,INSTITUTIONAL,TOTAL,LARGE,0,0,0,0,11,443
2015-16,WEST BENGAL,COOCH BEHAR,INSTITUTIONAL,TOTAL,ALL CLASSES,0,0,0,0,219,641
2015-16,WEST BENGAL,DARJEELING,SCHEDULED CASTE,TOTAL,MARGINAL,26638,13363,0,0,26638,13363
2015-16,WEST BENGAL,DARJEELING,SCHEDULED CASTE,TOTAL,SMALL,1835,2728,0,0,1835,2728
2015-16,WEST BENGAL,DARJEELING,SCHEDULED CASTE,TOTAL,SEMIMEDIUM,387,942,0,0,387,942
